rank	head	essay_frequency	syn_tails	syn_neighbors
1	轉賬	1867	10	中轉,倒車,轉化,轉向
2	首屆	1867	22	伯,元,冠,初
3	財政部	1863	14	內政部,公安部,分部,國防部
4	新區	1860	7	佔領區,墾區,教區,敵區
5	直銷	1860	20	代銷,供銷,促銷,傳銷
6	座談會	1859	42	人大,冬運會,午餐會,博覽會
7	絕跡	1856	5	告罄,滅絕,絕滅,罄盡
8	大全	1855	10	全,全稱,兼備,完備
9	錘子	1855	5	椎,榔,榔頭,槌
10	邊界	1853	20	分界,國境,國門,地界
11	牡丹	1852	3	國色天香,國花,牡丹花
12	還款	1852	4	償付,償還,還債,還貸
13	發佈會	1851	42	人大,冬運會,午餐會,博覽會
14	看病	1850	13	就診,就醫,治,治病
15	白雲	1848	2	浮雲,烏雲
16	動感	1847	18	來勁,充沛,奮發,帶勁
17	進貨	1842	23	市,打,採購,採辦
18	團長	1841	10	副官,參謀長,司令員,師長
19	大都	1840	6	基本上,多,大半,大多
20	業務員	1840	16	保管員,協理員,售票員,審查員
21	現貨	1840	9	上等貨,俏貨,大路貨,存貨
22	做生意	1831	2	經商,賈
23	早飯	1829	1	早餐
24	繁體	1828	17	冗贅,冗雜,千絲萬縷,撲朔迷離
25	基金會	1827	22	三合會,互助會,公會,協會
26	大酒店	1827	5	酒吧,酒家,酒店,酒樓
27	湊合	1827	36	七拼八湊,削足適履,勉勉強強,勉強
28	交付	1822	9	交,交由,交給,付
29	代謝	1820	1	新陳代謝
30	表述	1812	6	抒,抒發,發揮,發表
31	院士	1812	3	博士,博士後,大專
32	交互	1810	8	並行,互,互動,互相
33	買進	1810	23	市,打,採購,採辦
34	喝茶	1806	1	飲茶
35	原版	1805	8	修訂本,修訂版,出版物,初版
36	日內	1805	3	不日,即日,在即
37	品位	1804	4	檔次,水平,水準,程度
38	青海	1803	29	內蒙古,台灣,吉林,四川
39	嫂子	1799	4	兄嫂,大嫂,嫂,嫂嫂
40	生產力	1799	2	戰鬥力,購買力
41	貴陽	1799	116	上海,亳,仰光,佛山
42	蟲子	1795	2	昆蟲,蟲
43	人性化	1794	39	乳化,企業化,合法化,商業化
44	劇組	1793	16	代表團,合唱團,外交團,女團
45	廠房	1791	8	公房,工房,氈房,民房
46	複印	1789	15	付印,刊印,套印,套色
47	攝像機	1786	1	攝影機
48	侵害	1781	29	侵犯,侵蝕,侵越,傷
49	承包	1780	7	兜,兜攬,包,包攬
50	火車票	1780	4	支票,期票,港股,空頭支票
51	不免	1779	5	免不了,免不得,在所難免,未免
52	不大	1779	18	小,小小,幽微,微
53	中等	1779	11	不大不小,中,中型,中小
54	五顏六色	1779	17	五彩繽紛,五色繽紛,印花,多姿
55	人才	1779	22	一表人材,丰姿,人材,佳人
56	以至	1779	4	以至於,截至,直到,直至
57	伴娘	1779	1	喜娘
58	作家	1779	4	大手筆,文學家,文宗,文豪
59	來源	1779	13	來,來源於,來自,出自
60	修長	1779	11	久,修,大個,條
61	倒轉	1779	5	倒,反,反倒,反而
62	做到	1779	24	一氣呵成,不負眾望,作出,到位
63	傳真	1779	3	傳真電報,寫真,畫像
64	傷勢	1779	7	水勢,火勢,病勢,銷勢
65	出演	1779	7	上,上台,上場,出台
66	前夕	1779	3	前夜,昨夜,昨晚
67	助理	1779	12	下手,僚佐,副,副手
68	半點	1779	29	一二,一星半點,一絲,一點兒
69	口吻	1779	11	口器,口氣,口腕,口風
70	口音	1779	5	土音,方音,話音,語音
71	合唱	1779	7	清唱,獨唱,聯唱,視唱
72	吸吮	1779	10	吮,吮吸,吸,吸入
73	咕嚕	1779	10	呼嚕,咕唧,咕嘟,咕噥
74	四月	1779	1	四月份
75	基本法	1779	20	保險法,公檢法,兵役法,刑事訴訟法
76	報應	1779	3	因果,因果報應,報
77	契約	1779	9	券,單,單子,單據
78	好友	1779	13	執友,契友,好朋友,密友
79	學歷	1779	3	同等學歷,履歷,簡歷
80	客場	1779	34	主場,停機坪,停車場,射擊場
81	實習	1779	1	見習
82	寶石	1779	8	明珠,珠翠,瑪瑙,瑰
83	小路	1779	4	便道,小徑,羊腸小道,蹊徑
84	工會	1779	22	三合會,互助會,公會,協會
85	廚師	1779	7	主廚,名廚,大師傅,庖
86	彌補	1779	4	亡羊補牢,彌縫,挽救,補救
87	心血	1779	10	心力,心機,枯腸,腦
88	情形	1779	16	事態,動靜,圖景,場面
89	戒備	1779	17	以防萬一,備,嚴防,戒
90	打掃	1779	3	掃,掃除,除雪
91	打消	1779	42	免,免去,免掉,免除
92	拍片	1779	1	快照
93	捕捉	1779	1	捕殺
94	推倒	1779	4	打倒,打翻,推翻,擊倒
95	推動	1779	11	促進,力促,助長,後浪推前浪
96	新郎	1779	1	新人
97	普選	1779	9	初選,大選,改選,民選
98	書房	1779	2	書屋,書齋
99	有病	1779	17	久病,卧病,受病,害
100	木屋	1779	7	公屋,土屋,埃居,套房
101	末日	1779	19	季,底,後期,晚
102	氣體	1779	5	半流體,固體,氣,流體
103	水中	1779	1	眼中
104	波浪	1779	4	波,浪,浪花,浪頭
105	洗頭	1779	2	刷牙,洗腸
106	消散	1779	38	一去不復返,一去不返,付之一炬,付之東流
107	無從	1779	26	一籌莫展,不能,不許,使不得
108	煙海	1779	13	亞得裏亞海,公海,加勒比海,南海
109	營養	1779	6	滋補品,滋養,營養素,補品
110	版本	1779	3	本,本子,版
111	瓜子	1779	1	白瓜子
112	生性	1779	5	個性,天性,本性,秉性
113	疲倦	1779	25	乏,乏力,倦,勞乏
114	目送	1779	15	凝望,凝眸,凝視,只見
115	眼眶	1779	3	眶,眼圈,眼窩
116	禮拜日	1779	8	小禮拜,星期,星期天,星期日
117	絕不	1779	11	不用,不要,並非,休想
118	良心	1779	36	中心,人心,內心,六腑
119	茶几	1779	9	三屜桌,供桌,公案,圍桌
120	茶樓	1779	4	茶坊,茶室,茶社,茶館
121	董事	1779	1	股東
122	裝束	1779	3	妝飾,打扮,扮相
123	要不是	1779	1	若非
124	跌倒	1779	4	摔倒,栽,栽倒,絆倒
125	車禍	1779	4	人禍,慘禍,殺身之禍,空難
126	轟隆	1779	7	咕隆,嗡嗡,虺虺,轟
127	還好	1779	1	仲好
128	鐵路	1779	2	公路,高速公路
129	關節	1779	18	典型,刀口,問題,樞機
130	陳述	1779	5	臚陳,述,陳,陳言
131	雨水	1779	55	井水,冬至,夏至,大寒
132	電視劇	1779	32	傳奇,古裝戲,吉劇,啞劇
133	青衣	1779	7	丫頭,丫鬟,使女,侍女
134	鮮奶	1779	6	煉乳,牛乳,牛奶,豆奶
135	工作量	1778	42	價值量,儲藏量,儲量,儲電量
136	數額	1778	8	多寡,多少,數,數據
137	航天	1778	20	人工智能,代數,化工,地理
138	加之	1776	13	予,予以,付與,寓於
139	共計	1775	16	一共,一總,一起,共
140	命題	1775	4	專題,話題,課題,議題
141	園林	1775	5	公園,園,花園,苑
142	承辦	1775	2	經手,過手
143	王朝	1774	4	代,時,朝,朝代
144	蒙古	1774	29	內蒙古,台灣,吉林,四川
145	駕駛員	1773	3	司機,車手,駕駛者
146	發言人	1771	2	代言人,喉舌
147	農藥	1770	17	中成藥,仙丹,感冒藥,成藥
148	淨值	1763	16	交換價值,使用價值,保值,均值
149	收益率	1762	35	佔有率,入學率,利率,勞動生產率
150	稿子	1758	18	成文,打算,文章,方略
151	紹興	1756	115	上海,亳,仰光,佛山
152	省委	1754	1	市委
153	穩步	1752	32	一仍舊貫,一動不動,一如既往,一成不變
154	幸虧	1750	10	多虧,好在,幸,幸喜
155	款項	1749	5	帳,款,錢,項
156	主人公	1748	11	主,主人,主人家,主人翁
157	建材	1747	17	填料,工料,敷料,核燃料
158	鬍子	1746	17	匪,匪徒,匪盜,土匪
159	看上	1745	11	一往情深,一見傾心,一見鍾情,傾心
160	元件	1743	2	構件,部件
161	看望	1743	12	探,探問,探望,探視
162	交易日	1742	7	公休日,勞動日,地球日,工作日
163	因子	1742	1	因數
164	泉州	1742	12	佛羅裏達州,俄克拉何馬州,北卡羅來納州,印第安納州
165	火炬	1742	2	火把,炬
166	週報	1739	1	週刊
167	銀行卡	1735	7	信用卡,生日卡,磁卡,聖誕卡
168	日元	1733	34	人民幣,便士,先令,刀幣
169	計量	1733	18	乘除,划算,匡,匡算
170	高爾夫	1733	17	保齡球,冰球,壘球,手球
171	春秋	1732	21	夏,寒暑,年,年事
172	源代碼	1730	5	代碼,底碼,編碼,補碼
173	保證金	1729	1	保險金
174	調解	1729	11	勸和,和稀泥,圓場,息事寧人
175	好意思	1727	5	恬不知恥,死乞白賴,死皮賴臉,涎皮賴臉
176	祝願	1727	3	祝,祝福,祝頌
177	榮獲	1726	1	榮膺
178	工業化	1725	39	乳化,人性化,企業化,合法化
179	氾濫	1725	8	浩,湧,溢,溢出
180	本期	1724	2	上期,下期
181	大面積	1722	13	周邊,大,大規模,寬廣
182	病例	1722	6	實例,戰例,案例,特例
183	軍訓	1716	5	冬訓,整訓,軍事訓練,輪訓
184	實習生	1715	10	中學生,初中生,大學生,大專生
185	抵押	1715	3	抵,押,質
186	教育局	1714	12	外匯局,專利局,市政局,情報局
187	海域	1712	11	區域,大洋,大海,水域
188	珠寶	1710	3	珊瑚,貓眼,軟玉
189	美工	1709	10	丹青,圖,圖案,圖畫
190	辦學	1709	1	辦報
191	遏制	1708	10	制止,壓,壓制,平抑
192	常年	1706	7	一年到頭,平年,成年,終年
193	省份	1705	1	省
194	紅樓夢	1702	11	二十五史,二十四史,五經,六書
195	轄區	1702	1	管區
196	責任感	1701	34	使命感,信任感,優越感,危機感
197	交易所	1698	4	招待所,收容所,觀察所,診療所
198	東海	1694	13	亞得裏亞海,公海,加勒比海,南海
199	相聲	1694	2	單口相聲,對口相聲
200	選秀	1693	1	選秀節目
201	加油站	1691	1	驛
202	不耐煩	1690	10	心浮氣躁,急性,急躁,性急
203	中國人	1690	3	唐人,炎黃子孫,華人
204	代號	1690	8	呼號,商標,國號,字號
205	住所	1690	7	公館,家,寓,寓所
206	作文	1690	25	作,做,創作,寫
207	依照	1690	21	仍,以,以資,依
208	倒影	1690	1	半影
209	值錢	1690	6	昂貴,米珠薪桂,貴,質次價高
210	催淚彈	1690	18	中子彈,信號彈,原子彈,定時炸彈
211	傳人	1690	9	來人,後世,後人,後代
212	傻事	1690	1	蠢事
213	其次	1690	16	下,二,亞,仲
214	出版	1690	1	問世
215	包袱	1690	5	包,包裹,卷,擔子
216	協會	1690	22	三合會,互助會,公會,同學會
217	各人	1690	1	每人
218	咯咯	1690	1	咕咕
219	啦啦隊	1690	22	交響樂隊,儀仗隊,商隊,國家隊
220	因而	1690	13	之所以,因故,因此,就此
221	報名	1690	2	提請,申請
222	增長	1690	13	加上,加強,助長,增強
223	外牆	1690	2	牆根,隔牆
224	夜場	1690	2	夜市,曉市
225	女校	1690	3	五小,村校,私立學校
226	奶粉	1690	5	乳製品,乾酪,代乳粉,奶皮
227	對準	1690	5	對,指向,本着,照章
228	工業	1690	49	出版業,副業,化工,印刷業
229	差距	1690	10	出入,別,區別,千差萬別
230	引來	1690	1	引入
231	強勁	1690	23	一往無前,人多勢眾,兵不血刃,兵強馬壯
232	心臟病	1690	118	乙腦,乳腺炎,低燒,佝僂病
233	忐忑	1690	34	七上八下,不安,亂,仄
234	思維	1690	27	動腦筋,合計,尋味,尋思
235	意會	1690	9	心照不宣,心領,心領神會,悟
236	手提電話	1690	1	手機
237	把手	1690	5	把,提手,提樑,襻
238	拇指	1690	6	大拇指,大指,巨擘,手指公
239	指數	1690	51	一次函數,不定根,乘數,互質數
240	挽回	1690	2	力挽狂瀾,扭轉
241	掃視	1690	4	圍觀,掃描,環視,環顧
242	推理	1690	21	審度,度,忖度,想
243	措施	1690	18	不二法門,主意,方,方式
244	換言之	1690	4	不用説,也就是説,卻説,這樣一來
245	撒嬌	1690	1	扭捏
246	攝影師	1690	2	攝影,錄音
247	收養	1690	4	容留,收容,收留,認領
248	整整	1690	46	一,一五一十,一切,一體
249	星座	1690	3	宿,座,星宿
250	映照	1690	11	射,投,投射,映射
251	昨日	1690	2	昨,昨天
252	會場	1690	34	主場,停機坪,停車場,客場
253	有幸	1690	10	三生有幸,僥倖,大吉,好運
254	架構	1690	3	搭,架,架設
255	楚楚	1690	12	儼然,利落,劃一,嚴整
256	機器	1690	3	機,機具,機械
