head	reason	batch_id
中出	function_word	syn-top5000-b04-20260718
殺氣	no_stable_near_synonym	syn-top5000-b04-20260718
汽水	no_stable_near_synonym	syn-top5000-b04-20260718
噶	function_word	syn-top5000-b04-20260718
下下	function_word	syn-top5000-b04-20260718
鍊	function_word	syn-top5000-b04-20260718
侏	function_word	syn-top5000-b04-20260718
行行	function_word	syn-top5000-b04-20260718
平安夜	no_stable_near_synonym	syn-top5000-b04-20260718
鈕	function_word	syn-top5000-b04-20260718
先得	function_word	syn-top5000-b04-20260718
李	function_word	syn-top5000-b04-20260718
貼紙	no_stable_near_synonym	syn-top5000-b04-20260718
仲話	function_word	syn-top5000-b04-20260718
打嚟	function_word	syn-top5000-b04-20260718
教畜	function_word	syn-top5000-b04-20260718
半身	function_word	syn-top5000-b04-20260718
食得	function_word	syn-top5000-b04-20260718
鬍	function_word	syn-top5000-b04-20260718
性奴	function_word	syn-top5000-b04-20260718
下集	no_stable_near_synonym	syn-top5000-b04-20260718
如是	function_word	syn-top5000-b04-20260718
點講	no_stable_near_synonym	syn-top5000-b04-20260718
淘寶	function_word	syn-top5000-b04-20260718
人話	function_word	syn-top5000-b04-20260718
她們	function_word	syn-top5000-b04-20260718
玩家	no_stable_near_synonym	syn-top5000-b04-20260718
脾	function_word	syn-top5000-b04-20260718
函數	function_word	syn-top5000-b04-20260718
電子	function_word	syn-top5000-b04-20260718
一來	function_word	syn-top5000-b04-20260718
拜託	no_stable_near_synonym	syn-top5000-b04-20260718
有排	function_word	syn-top5000-b04-20260718
蕃	function_word	syn-top5000-b04-20260718
陽具	function_word	syn-top5000-b04-20260718
六點	function_word	syn-top5000-b04-20260718
幾大	function_word	syn-top5000-b04-20260718
一句話	no_stable_near_synonym	syn-top5000-b04-20260718
敏	function_word	syn-top5000-b04-20260718
茄	function_word	syn-top5000-b04-20260718
一於	function_word	syn-top5000-b04-20260718
廿	function_word	syn-top5000-b04-20260718
挑戰	polysemous_no_stable_sense	syn-top5000-b04-20260718
缸	function_word	syn-top5000-b04-20260718
九點	function_word	syn-top5000-b04-20260718
噠	function_word	syn-top5000-b04-20260718
想要	no_stable_near_synonym	syn-top5000-b04-20260718
捲	function_word	syn-top5000-b04-20260718
全場	no_stable_near_synonym	syn-top5000-b04-20260718
八點	function_word	syn-top5000-b04-20260718
太好	no_stable_near_synonym	syn-top5000-b04-20260718
踢波	no_stable_near_synonym	syn-top5000-b04-20260718
日記	no_stable_near_synonym	syn-top5000-b04-20260718
朵	function_word	syn-top5000-b04-20260718
三點	function_word	syn-top5000-b04-20260718
中指	polysemous_no_stable_sense	syn-top5000-b04-20260718
嘥	function_word	syn-top5000-b04-20260718
外賣	no_stable_near_synonym	syn-top5000-b04-20260718
宿舍	no_stable_near_synonym	syn-top5000-b04-20260718
讀者	no_stable_near_synonym	syn-top5000-b04-20260718
上市公司	function_word	syn-top5000-b04-20260718
咁鬼	function_word	syn-top5000-b04-20260718
單嘢	function_word	syn-top5000-b04-20260718
窒	function_word	syn-top5000-b04-20260718
鍚	function_word	syn-top5000-b04-20260718
七點	function_word	syn-top5000-b04-20260718
五點	function_word	syn-top5000-b04-20260718
多位	function_word	syn-top5000-b04-20260718
夜貓	no_stable_near_synonym	syn-top5000-b04-20260718
幾步	function_word	syn-top5000-b04-20260718
溝女	no_stable_near_synonym	syn-top5000-b04-20260718
出便	function_word	syn-top5000-b04-20260718
四點	function_word	syn-top5000-b04-20260718
