literal	scope	current_family	proposed_family	source	evidence	confidence	verdict	review_note	audit_verdict	audit_note
一呼百應	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
一時半晌	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
一木難支	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
一鱗半爪	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
下回分解	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
不共戴天	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
不分軒輊	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
不名一文	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
不經之談	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
不速之客	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
不顧前後	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
五十步笑百步	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	SOFT	reviewed source-backed non-four-character fixed expression
五體投地	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
人心惶惶	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
人模狗樣	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
以其人之道還治其人之身	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	SOFT	reviewed source-backed non-four-character fixed expression
以力服人	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
依樣畫葫蘆	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	SOFT	reviewed source-backed non-four-character fixed expression
保殘守缺	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
信口雌黃	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
修橋補路	lexicon-pos-gap		chengyu	china-idiom+agent	external-membership;missing-project-pos;rich-record;agent-review	high	accept	family reviewed; SSOT deferred until project POS exists	OK	fixed form plus reviewed definition/derivation evidence
