head	essay_frequency	syn_tails	syn_neighbors
打球	3271	1	打波
唇膏	3203	1	口紅
體內	3203	1	村裏
唔經唔覺	3114	1	不知不覺
物件	3114	1	物體
其他地方	2816	1	別處
做主	2669	1	話事
幾錢	2669	1	多少錢
摩托車	2591	1	電單車
出貨	2582	1	發貨
合約	2491	1	合同
婚禮	2491	2	結婚儀式,結婚典禮
這次	2491	1	今次
國企	2391	1	國營企業
月台	2313	1	站台
分數	2224	1	分
回合	2224	1	合
村裏	2220	1	體內
殺毒軟件	2220	1	防毒軟件
佛山	2219	123	上海,亳,仰光,倫敦,典雅
小夥子	2218	8	初生之犢,子弟,年輕人,年青人,弟子
海軍	2217	19	保安隊,偵察兵,別動隊,工程兵,憲兵
不已	2216	27	不了,不休,不住,不停,不息
啓示	2214	7	啓發,啓迪,誘,誘導,誘發
輪胎	2213	4	皮帶,胎,車胎,輪帶
拷貝	2210	1	正片
選購	2210	23	市,打,採購,採辦,置
專區	2209	13	區,市,市轄區,旗,特區
聽取	2206	2	收聽,聽
債券	2205	1	公債券
導出	2204	1	導入
租賃	2201	12	僦,出租,包,承租,招租
女主角	2199	1	女主人公
配方	2197	5	方,方劑,藥方,處方,配藥
鑑於	2196	3	出於,由,由於
舉措	2192	7	一舉一動,此舉,舉動,舉止,行動
自動化	2190	39	乳化,人性化,企業化,合法化,商業化
人文	2189	2	天文,水文
檢索	2189	19	尋,尋找,尋覓,找,找尋
圖表	2185	6	圖,圖形,圖樣,圖片,圖籍
大豆	2184	2	毛豆,黃豆
訂購	2178	6	定貨,定購,訂,訂座,預訂
對照	2177	8	對待,對比,對立統一,比,比照
艾滋病	2177	1	愛滋病
依託	2172	4	依賴,寄,寄予,寄託
多年來	2172	10	以來,前不久,新近,日前,最近
整改	2170	6	整,整治,整肅,整頓,整飭
車間	2170	1	小組
陌生人	2170	9	外人,局外人,旁觀者,生人,異己
洛陽	2168	116	上海,亳,仰光,佛山,倫敦
生產線	2162	5	工序,時序,歲序,自動線,裝配線
股指	2160	1	一手一足
石家莊	2151	116	上海,亳,仰光,佛山,倫敦
額度	2151	15	儲蓄額,全額,名額,員額,大額
總公司	2150	4	母公司,總局,總店,總行
源於	2149	11	來,來源,來源於,來自,出自
代表團	2148	16	劇組,合唱團,外交團,女團,小集團
週二	2148	2	星期二,禮拜二
釐米	2145	19	人次,元,光年,公分,公斤
麻將	2137	1	麻雀
明細	2136	21	仔細,周密,密切,心細,有心人
一味	2135	34	一直,不過,但,偏偏,僅
不單	2135	12	不但,不僅,不僅僅,不光,不只
不經意	2135	10	不在意,千慮一失,在所不計,大意,失慎
不錯	2135	81	上好,不利,不含糊,不易,不賴
人們	2135	2	人人,眾人
人流	2135	8	人叢,人工流產,人海,人潮,人羣
人道	2135	34	交媾,仁厚,以德報怨,厚朴,厚道
傾向	2135	17	主旋律,來勢,來頭,動向,勢
入場	2135	5	入境,入夜,入室,入庫,入門
公里	2135	19	人次,元,光年,公分,公斤
兵器	2135	15	傢伙,兵,兵戎,刀兵,刀槍
刑事	2135	2	刑律,刑法
北面	2135	1	四面
原先	2135	13	以前,元元本本,先,先前,原
合力	2135	12	並肩,並肩作戰,協力,合璧,同甘苦
商品	2135	4	貨,貨品,貨物,貨色
多種	2135	10	冒尖,出頭,又,多,強
大隊	2135	3	兵團,支隊,軍團
天意	2135	13	命,命運,天命,天數,天時
學院	2135	1	院
屋主	2135	3	二房東,房東,房產主
常識	2135	1	一般常識
底線	2135	1	下線
店鋪	2135	20	企業,公司,合作社,商家,商店
影像	2135	3	像,形象,畫面
循環	2135	4	大循環,巡迴,輪迴,週而復始
情境	2135	8	地,地步,境,境地,境域
愛意	2135	10	含情脈脈,情,情意,情愛,情網
擅長	2135	8	健,善,善於,善用,嫺
