head	tail
一家大細	一家大小
一廂情願	一相情願
上流社會	上層社會
不一會兒	不一會
不切實際	脱離實際
中央銀行	央行
中小企業	中小企
人仔細細	小心翼翼
僅此而已	如此而已
公共交通	大眾運輸
公共場所	公眾場所
公共關係	公關
刑事責任	刑責
參考文獻	參考書目
可見一斑	略見一斑
各不相同	各異
唯物主義	唯物論
國際貿易	外貿
外匯市場	匯市
夢中情人	夢中人
天壤之別	天淵之別
天氣預報	天氣預測
奧林匹克	奧運
字裏行間	字裡行間
專業知識	專門知識
對衝基金	對沖基金
工作小組	工作組
延年益壽	益壽延年
弱勢群體	弱勢社群
後期製作	後製
恐怖分子	恐怖份子
投資銀行	投行
撕心裂肺	肝腸寸斷
政府機關	政府機構
數字信號	數位信號
殺毒軟件	防毒軟件
民意調查	民調
滔滔不絕	口若懸河
牀上用品	寢具
現場直播	直播
環境保護	環保
由此可見	由此可知
網絡環境	網路環境
豬朋狗友	狐朋狗友
通俗易懂	淺顯易懂
關鍵問題	基礎問題
電子信箱	電郵
電子郵件	電郵
養家餬口	養家活口
高分辨率	高清晰度
一夜之間	一夕之間
一時之間	一時
一聲不吭	一言不發
不懷好意	居心不良
中心地帶	中心區
乾淨利落	乾淨俐落
健健康康	健康
優惠價格	優惠價
內幕交易	內線交易
全校師生	全體師生
再生能源	可再生能源
初戀情人	初戀
勞動模範	勞模
吸取教訓	汲取教訓
四方八面	四面八方
國營企業	國企
地球科學	地學
基因工程	遺傳工程
家庭教師	補習老師
嶄露頭角	初露頭角
川流不息	絡繹不絕
帶狀皰疹	生蛇
年紀輕輕	年少
從現在起	從今以後
心地善良	心地好
心肌梗死	心肌梗塞
慈善機構	慈善團體
手提電腦	筆記本電腦
手足口病	手足口症
放射治療	放療
故意殺人	謀殺
文具用品	文具
日常用品	日用品
會議展覽	會展
有機玻璃	亞克力
標點符號	標點
永無止境	永無休止
渾身上下	全身上下
無聲無息	悄無聲息
猝不及防	措手不及
直系親屬	直系血親
突然之間	忽然之間
節約能源	節能
網頁地址	網址
評審委員	評委
貪污受賄	貪贓枉法
返璞歸真	反璞歸真
退伍軍人	退役軍人
選秀節目	選秀
陸陸續續	陸續
一錯再錯	一誤再誤
不可戰勝	戰無不勝
不理不睬	置之不理
世界市場	國際市場
五筆字型	五筆字形
付諸行動	付諸實施
便利商店	便利店
傳動裝置	傳動機構
公立學校	官立學校
刻苦學習	學習刻苦
另闢蹊徑	獨闢蹊徑
和平共處	長期共存
四處張望	東張西望
國家元首	元首
國防工業	軍工
大量生產	量產
學生運動	學運
將信將疑	半信半疑
帕金森病	柏金遜症
思維敏捷	思路敏捷
愛理不理	愛答不理
打定主意	下定決心
數據接口	數據介面
時光飛逝	光陰似箭
時過境遷	事過境遷
氣定神閒	泰然自若
