literal	pos	family	voice	note	trust	verdict	fix_pos	audit_note
一桿入洞	n,v			u-tail533;review;agent-label	high	SOFT		n,v 高爾夫可
不分皂白	a,r	idiom		u-tail533;review;agent-label	high	SOFT		a 主；r 弱
不治而癒	v	idiom		u-tail533;review;agent-label	high	OK		
人工免疫	n			u-tail533;review;agent-label	high	OK		
人滿為患	a	idiom		u-tail533;review;agent-label	high	OK		
借酒消愁	v	idiom		u-tail533;review;agent-label	high	OK		
假手於人	v	idiom		u-tail533;review;agent-label	high	OK		
債台高築	a,v	idiom		u-tail533;review;agent-label	high	OK		
光説不做	a,v	idiom		u-tail533;review;agent-label	high	OK		
入貨	v			u-tail533;review;agent-label	high	OK		
力排眾議	v	idiom		u-tail533;review;agent-label	high	OK		
勞累過度	a			u-tail533;review;agent-label	high	OK		
卧薪嚐膽	v	idiom		u-tail533;review;agent-label	high	OK		
唱對台戲	v	idiom		u-tail533;review;agent-label	high	OK		
大眾運輸	n			u-tail533;review;agent-label	high	OK		
好仔	n			u-tail533;review;agent-label	high	OK		
妖言惑眾	v	idiom		u-tail533;review;agent-label	high	OK		
定海神針	n	idiom		u-tail533;review;agent-label	high	OK		
實存	a,n			u-tail533;review;agent-label	high	SOFT		a,n 哲學用語可
居無定所	a,v	idiom		u-tail533;review;agent-label	high	OK		
平等待人	v			u-tail533;review;agent-label	high	OK		
引體上升	n,v			u-tail533;review;agent-label	high	OK		
慧眼獨具	a	idiom		u-tail533;review;agent-label	high	OK		
我嘅	x			u-tail533;review;agent-label	high	OK		
探親訪友	v	idiom		u-tail533;review;agent-label	high	OK		
推濤作浪	v	idiom		u-tail533;review;agent-label	high	OK		
消極影響	n			u-tail533;review;agent-label	high	OK		
深受其害	v	idiom		u-tail533;review;agent-label	high	OK		
温文爾雅	a	idiom		u-tail533;review;agent-label	high	OK		
為善	v			u-tail533;review;agent-label	high	OK		
熱情接待	v			u-tail533;review;agent-label	high	OK		
用心險惡	a	idiom		u-tail533;review;agent-label	high	OK		
由下而上	r			u-tail533;review;agent-label	high	OK		
真金白銀	n	idiom		u-tail533;review;agent-label	high	OK		
眾口一詞	a,v	idiom		u-tail533;review;agent-label	high	OK		
睇唔見	v			u-tail533;review;agent-label	high	OK		
稱之為	v			u-tail533;review;agent-label	high	OK		
精仔	n			u-tail533;review;agent-label	high	OK		
精叻	a			u-tail533;review;agent-label	high	OK		
精神爽利	a	idiom		u-tail533;review;agent-label	high	OK		
細隻	a			u-tail533;review;agent-label	high	OK		
芝麻綠豆	a,n	idiom		u-tail533;review;agent-label	high	OK		
荒時暴月	n	idiom		u-tail533;review;agent-label	high	OK		
討回公道	v			u-tail533;review;agent-label	high	OK		
講大話	v			u-tail533;review;agent-label	high	OK		
輸油管線	n			u-tail533;review;agent-label	high	OK		
電弧焊接	n,v			u-tail533;review;agent-label	high	OK		
飛潛動植	n			u-tail533;review;agent-label	high	OK		
高抬貴手	v	idiom		u-tail533;review;agent-label	high	OK		
鼠竊狗偷	n,v	idiom		u-tail533;review;agent-label	high	OK		
