head	reason	batch_id
優先發展	other_documented	syn-len4-b02-20260718
移動設備	other_documented	syn-len4-b02-20260718
精神面貌	other_documented	syn-len4-b02-20260718
男女平等	other_documented	syn-len4-b02-20260718
光合作用	other_documented	syn-len4-b02-20260718
換位思考	other_documented	syn-len4-b02-20260718
馬列主義	proper_name_or_deixis	syn-len4-b02-20260718
喜新厭舊	cultural_no_binary	syn-len4-b02-20260718
閃閃發光	cultural_no_binary	syn-len4-b02-20260718
互相幫助	other_documented	syn-len4-b02-20260718
出版日期	other_documented	syn-len4-b02-20260718
審美疲勞	cultural_no_binary	syn-len4-b02-20260718
教育制度	other_documented	syn-len4-b02-20260718
不可抗力	other_documented	syn-len4-b02-20260718
來電顯示	other_documented	syn-len4-b02-20260718
行雲流水	cultural_no_binary	syn-len4-b02-20260718
輕鬆愉快	cultural_no_binary	syn-len4-b02-20260718
重出江湖	cultural_no_binary	syn-len4-b02-20260718
黑客帝國	proper_name_or_deixis	syn-len4-b02-20260718
有感而發	cultural_no_binary	syn-len4-b02-20260718
用武之地	cultural_no_binary	syn-len4-b02-20260718
優勝劣汰	cultural_no_binary	syn-len4-b02-20260718
功能模塊	other_documented	syn-len4-b02-20260718
一脈相承	cultural_no_binary	syn-len4-b02-20260718
初來乍到	cultural_no_binary	syn-len4-b02-20260718
嶄露頭角	cultural_no_binary	syn-len4-b02-20260718
副總經理	other_documented	syn-len4-b02-20260718
自我介紹	other_documented	syn-len4-b02-20260718
上皮細胞	other_documented	syn-len4-b02-20260718
國際新聞	other_documented	syn-len4-b02-20260718
心理因素	other_documented	syn-len4-b02-20260718
昏昏沉沉	other_documented	syn-len4-b02-20260718
電視頻道	other_documented	syn-len4-b02-20260718
個人主義	other_documented	syn-len4-b02-20260718
環保意識	other_documented	syn-len4-b02-20260718
走馬觀花	cultural_no_binary	syn-len4-b02-20260718
出門在外	other_documented	syn-len4-b02-20260718
隱私政策	other_documented	syn-len4-b02-20260718
民主監督	other_documented	syn-len4-b02-20260718
生不如死	cultural_no_binary	syn-len4-b02-20260718
辦事機構	other_documented	syn-len4-b02-20260718
退休年齡	other_documented	syn-len4-b02-20260718
公職人員	other_documented	syn-len4-b02-20260718
國家權力	other_documented	syn-len4-b02-20260718
恐怖組織	other_documented	syn-len4-b02-20260718
樂在其中	cultural_no_binary	syn-len4-b02-20260718
若即若離	cultural_no_binary	syn-len4-b02-20260718
食慾不振	other_documented	syn-len4-b02-20260718
侃侃而談	cultural_no_binary	syn-len4-b02-20260718
生生不息	cultural_no_binary	syn-len4-b02-20260718
用心良苦	cultural_no_binary	syn-len4-b02-20260718
儲蓄存款	other_documented	syn-len4-b02-20260718
從頭開始	other_documented	syn-len4-b02-20260718
種族歧視	other_documented	syn-len4-b02-20260718
糾纏不清	cultural_no_binary	syn-len4-b02-20260718
頭等大事	other_documented	syn-len4-b02-20260718
品學兼優	cultural_no_binary	syn-len4-b02-20260718
地心吸力	other_documented	syn-len4-b02-20260718
家庭主婦	other_documented	syn-len4-b02-20260718
水土不服	cultural_no_binary	syn-len4-b02-20260718
憂患意識	cultural_no_binary	syn-len4-b02-20260718
業務水平	other_documented	syn-len4-b02-20260718
性情中人	cultural_no_binary	syn-len4-b02-20260718
經濟作物	other_documented	syn-len4-b02-20260718
超級女生	proper_name_or_deixis	syn-len4-b02-20260718
內心深處	other_documented	syn-len4-b02-20260718
逢年過節	cultural_no_binary	syn-len4-b02-20260718
色即是空	cultural_no_binary	syn-len4-b02-20260718
不失時機	cultural_no_binary	syn-len4-b02-20260718
公共事務	other_documented	syn-len4-b02-20260718
發明創造	other_documented	syn-len4-b02-20260718
八國聯軍	proper_name_or_deixis	syn-len4-b02-20260718
當家作主	cultural_no_binary	syn-len4-b02-20260718
衣食無憂	cultural_no_binary	syn-len4-b02-20260718
晃晃悠悠	cultural_no_binary	syn-len4-b02-20260718
帶薪休假	no_stable_near_synonym	syn-len4-b02-20260718
不得好死	cultural_no_binary	syn-len4-b02-20260718
國計民生	other_documented	syn-len4-b02-20260718
消費習慣	other_documented	syn-len4-b02-20260718
特異功能	other_documented	syn-len4-b02-20260718
科學精神	other_documented	syn-len4-b02-20260718
科特迪瓦	proper_name_or_deixis	syn-len4-b02-20260718
自生自滅	cultural_no_binary	syn-len4-b02-20260718
遍地開花	cultural_no_binary	syn-len4-b02-20260718
總體目標	other_documented	syn-len4-b02-20260718
另當別論	cultural_no_binary	syn-len4-b02-20260718
崇洋媚外	cultural_no_binary	syn-len4-b02-20260718
打情罵俏	cultural_no_binary	syn-len4-b02-20260718
仁者見仁	cultural_no_binary	syn-len4-b02-20260718
忍辱負重	cultural_no_binary	syn-len4-b02-20260718
成人教育	other_documented	syn-len4-b02-20260718
一言難盡	cultural_no_binary	syn-len4-b02-20260718
圖形界面	other_documented	syn-len4-b02-20260718
電氣工程	other_documented	syn-len4-b02-20260718
人文社科	other_documented	syn-len4-b02-20260718
以身相許	cultural_no_binary	syn-len4-b02-20260718
環氧樹脂	other_documented	syn-len4-b02-20260718
電子工程	other_documented	syn-len4-b02-20260718
接觸不良	other_documented	syn-len4-b02-20260718
勞逸結合	cultural_no_binary	syn-len4-b02-20260718
烏蘭察布	proper_name_or_deixis	syn-len4-b02-20260718
先進水平	other_documented	syn-len4-b02-20260718
比較分析	other_documented	syn-len4-b02-20260718
新聞週刊	proper_name_or_deixis	syn-len4-b02-20260718
國內生產	other_documented	syn-len4-b02-20260718
百獸之王	cultural_no_binary	syn-len4-b02-20260718
自我評價	other_documented	syn-len4-b02-20260718
面對現實	other_documented	syn-len4-b02-20260718
誤人子弟	cultural_no_binary	syn-len4-b02-20260718
週邊設備	other_documented	syn-len4-b02-20260718
玻璃纖維	other_documented	syn-len4-b02-20260718
禽獸不如	cultural_no_binary	syn-len4-b02-20260718
與生俱來	cultural_no_binary	syn-len4-b02-20260718
腰椎間盤	other_documented	syn-len4-b02-20260718
現代文學	other_documented	syn-len4-b02-20260718
信號處理	other_documented	syn-len4-b02-20260718
家用電腦	other_documented	syn-len4-b02-20260718
軟件技術	other_documented	syn-len4-b02-20260718
世界文化	other_documented	syn-len4-b02-20260718
漸行漸遠	cultural_no_binary	syn-len4-b02-20260718
第一夫人	proper_name_or_deixis	syn-len4-b02-20260718
同等學力	other_documented	syn-len4-b02-20260718
模擬考試	other_documented	syn-len4-b02-20260718
四門轎車	other_documented	syn-len4-b02-20260718
牛郎織女	proper_name_or_deixis	syn-len4-b02-20260718
電子工業	other_documented	syn-len4-b02-20260718
全文檢索	other_documented	syn-len4-b02-20260718
失物招領	other_documented	syn-len4-b02-20260718
上綱上線	cultural_no_binary	syn-len4-b02-20260718
抑制作用	other_documented	syn-len4-b02-20260718
特約記者	other_documented	syn-len4-b02-20260718
權利聲明	other_documented	syn-len4-b02-20260718
不可收拾	cultural_no_binary	syn-len4-b02-20260718
民主生活	other_documented	syn-len4-b02-20260718
生日蛋糕	other_documented	syn-len4-b02-20260718
流動資產	other_documented	syn-len4-b02-20260718
