phase	literal	pos	family	voice	note	trust	stratum	verdict	fix_pos	fix_family	fix_voice	audit_note
p1	一句話	n,r			no-source;fallback;p1-audit;review;NP「一句話」；亦作「總之」副用	high	high|gate|plain	OK				
p1	世上	n			verb-suffix;heuristic;p1-cleanup;verb-suffix-fix;review	high	high|gate|plain	OK				
p1	中	n,v			cow-multi;p1-audit;review;自由形「中」弱；名／方位名＋動「中獎／中計」	high	high|gate|plain	OK				
p1	也好	x			verb-suffix;heuristic;p1-audit;review;verb-suffix假陽；讓步／語氣，非動	high	high|gate|plain	OK				
p1	件	x			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	high|gate|plain	OK				
p1	但係	x			no-source;fallback;p1-cleanup;canto-heuristic;review	high	high|gate|plain	OK				
p1	作爲	v,x			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	high|gate|plain	OK				
p1	佢	x			no-source;fallback;p1-cleanup;canto-heuristic;review	high	high|gate|plain	OK				
p1	依個	x			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	high|gate|plain	OK				
p1	值	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain	OK				
p1	做過	v			verb-suffix;p1;heuristic;p1-cleanup;verb-suffix-fix;review	high	high|gate|plain	OK				
p1	停留	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain	OK				
p1	傳來	v			verb-suffix;heuristic;p1-cleanup;verb-suffix-fix;review	high	high|gate|plain	OK				
p1	兜過	v			verb-suffix;heuristic;p1-cleanup;verb-suffix-fix;review	high	high|gate|plain	OK				
p1	分開	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain	OK				
p1	原來	r			verb-suffix;heuristic;p1-audit;review;verb-suffix假陽；副「原先／原來如此」	high	high|gate|plain	OK				
p1	同人	n			no-source;fallback;p1-audit;review;同好／同人誌；同伴	high	high|gate|plain	OK				
p1	哂	x			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	high|gate|plain	OK				
p1	唔	r,x			heuristic	high	high|gate|plain	OK				
p1	啊	x			no-source;fallback;p1-cleanup;canto-heuristic;review	high	high|gate|plain	OK				
p1	嗯	x			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	high|gate|plain	OK				
p1	嘉	a,n			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	high|gate|plain	SOFT				自由形主名／專名構件；a 薄，閘用 multi 可
p1	嘢	n			no-source;fallback;p1-cleanup;canto-heuristic;review	high	high|gate|plain	OK				
p1	四	x			numeral;heuristic	high	high|gate|plain	OK				
p1	思考	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain	OK				
p1	愈來愈	r			no-source;fallback;p1-audit;review;越來越	high	high|gate|plain	OK				
p1	成日	r			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	high|gate|plain	OK				
p1	扯	v			audit-high;review	high	high|gate|plain	OK				
p1	提供	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain	SOFT				主標動；名物化 n 薄，閘用 multi 可
p1	支持	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain	OK				
p1	有事	v			no-source;fallback;p1-audit;review;有事情	high	high|gate|plain	OK				
p1	有時	r			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	high|gate|plain	OK				
p1	消耗	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain	OK				
p1	淺	a			no-source;p1;fallback;p1-audit;review;不深	high	high|gate|plain	OK				
p1	當	v,x			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	high|gate|plain	OK				
p1	的確	r			no-source;fallback;p1-audit;review;確實	high	high|gate|plain	OK				
p1	相	n			no-source;fallback;p1-close;rank-u;canto-heuristic;review;p1-audit;review;自由詞主要係名「相／影相」；a/v 假陽會毒同形／動詞閘	high	high|gate|plain	OK				
p1	看完	v			verb-suffix;p1;heuristic	high	high|gate|plain	OK				
p1	睇住	v			verb-suffix;heuristic	high	high|gate|plain	OK				
p1	砌	v			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	high|gate|plain	OK				
p1	移動	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain	OK				
p1	突然	a,r			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	high|gate|plain	OK				
p1	紅	a,n			no-source;p1;fallback;p1-audit;review;紅色／紅	high	high|gate|plain	OK				
p1	細	a			no-source;p1;fallback;p1-close;rank-u;canto-heuristic;review	high	high|gate|plain	OK				
p1	耐	a,r			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	high|gate|plain	OK				
p1	聽	v			cow-single;p1-cleanup;canto-heuristic;review	high	high|gate|plain	OK				
p1	若	x			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	high|gate|plain	OK				
p1	處理	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain	OK				
p1	行	n,v			no-source;p1;fallback;p1-cleanup;canto-heuristic;review	high	high|gate|plain	OK				
p1	這個問題	n			len4-noun-heuristic;p1	high	high|gate|plain	SOFT				短語 NP；閘用當名可，非詞位
p1	哈哈哈哈	u	idiom		no-source;p1;fallback;p2-idiom:AABB;p2-idiom-heuristic;review	high	high|u|idiom	BAD				笑擬聲重疊非固定熟語；u 可留；空 fix_family 清 idiom
p1	咗去	u			verb-suffix;p1;heuristic;p1-cleanup;verb-suffix-fix;review	high	high|u|plain	OK				體貌殘片；u 合理
p1	咗好	u			verb-suffix;p1;heuristic;p1-cleanup;verb-suffix-fix;review	high	high|u|plain	OK				體貌殘片；u 合理
p1	我過	u			verb-suffix;p1;heuristic;p1-audit;review;verb-suffix假陽；切分殘片，詞類未定	high	high|u|plain	OK				切分殘片；u 合理
p1	一半	n			cow-single	low	low|low|plain	OK				
p1	事實	n			cow-single	low	low|low|plain	OK				
p1	享受	v			cow-single	low	low|low|plain	SOFT				主標動可；名物化常見，升 trust 可 n,v
p1	人物	n			cow-single	low	low|low|plain	OK				
p1	保持	v			cow-single	low	low|low|plain	OK				
p1	保險	n			cow-single	low	low|low|plain	OK				
p1	先生	n			cow-single	low	low|low|plain	OK				
p1	刀	n			cow-single	low	low|low|plain	OK				
p1	卡	n			cow-single	low	low|low|plain	SOFT				名可；動「卡住」常見
p1	原因	n			cow-single	low	low|low|plain	OK				
p1	叉	n			cow-single	low	low|low|plain	SOFT				名可；動「叉住」常見
p1	口罩	n			cow-single	low	low|low|plain	OK				
p1	叮	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain	OK				
p1	和平	n			cow-single	low	low|low|plain	OK				
p1	問	v			cow-single;p1	low	low|low|plain	OK				
p1	回覆	n			cow-single	low	low|low|plain	SOFT				名可；動用法極常見
p1	圓形	n			cow-single	low	low|low|plain	OK				
p1	地板	n			cow-single	low	low|low|plain	OK				
