head	tail	relation_type	batch_id
冇	沒有	syn	syn-top5000-b01-20260718
睇	看	syn	syn-top5000-b01-20260718
嚟	來	syn	syn-top5000-b01-20260718
畀	給	syn	syn-top5000-b01-20260718
唔係	不是	syn	syn-top5000-b01-20260718
唔好	不好	syn	syn-top5000-b01-20260718
但係	但是	syn	syn-top5000-b01-20260718
點解	為什麼	syn	syn-top5000-b01-20260718
邊個	誰	syn	syn-top5000-b01-20260718
而家	現在	syn	syn-top5000-b01-20260718
即係	就是	syn	syn-top5000-b01-20260718
屋企	家	syn	syn-top5000-b01-20260718
鍾意	喜歡	syn	syn-top5000-b01-20260718
跟住	然後	syn	syn-top5000-b01-20260718
瞓	睡	syn	syn-top5000-b01-20260718
邊度	哪裏	syn	syn-top5000-b01-20260718
同埋	以及	syn	syn-top5000-b01-20260718
入面	裏面	syn	syn-top5000-b01-20260718
女仔	女孩	syn	syn-top5000-b01-20260718
媽咪	媽媽	syn	syn-top5000-b01-20260718
靚	漂亮	syn	syn-top5000-b01-20260718
家姐	姐姐	syn	syn-top5000-b01-20260718
點樣	怎樣	syn	syn-top5000-b01-20260718
仲有	還有	syn	syn-top5000-b01-20260718
頭先	剛才	syn	syn-top5000-b01-20260718
少少	一點	syn	syn-top5000-b01-20260718
啱	對	syn	syn-top5000-b01-20260718
落去	下去	syn	syn-top5000-b01-20260718
依家	現在	syn	syn-top5000-b01-20260718
做咩	幹什麼	syn	syn-top5000-b01-20260718
公仔	玩偶	syn	syn-top5000-b01-20260718
出嚟	出來	syn	syn-top5000-b01-20260718
男仔	男孩	syn	syn-top5000-b01-20260718
唔該	謝謝	syn	syn-top5000-b01-20260718
今次	這次	syn	syn-top5000-b01-20260718
唔同	不同	syn	syn-top5000-b01-20260718
諗住	打算	syn	syn-top5000-b01-20260718
老豆	爸爸	syn	syn-top5000-b01-20260718
返去	回去	syn	syn-top5000-b01-20260718
叻	聰明	syn	syn-top5000-b01-20260718
入去	進去	syn	syn-top5000-b01-20260718
仲要	更加	syn	syn-top5000-b01-20260718
污糟	骯髒	syn	syn-top5000-b01-20260718
望住	看住	syn	syn-top5000-b01-20260718
唔記得	忘記	syn	syn-top5000-b01-20260718
淨係	只是	syn	syn-top5000-b01-20260718
細佬	弟弟	syn	syn-top5000-b01-20260718
細妹	妹妹	syn	syn-top5000-b01-20260718
梗係	當然	syn	syn-top5000-b01-20260718
唔使	不用	syn	syn-top5000-b01-20260718
噉樣	這樣	syn	syn-top5000-b01-20260718
好彩	幸運	syn	syn-top5000-b01-20260718
聽日	明天	syn	syn-top5000-b01-20260718
啱啱	剛剛	syn	syn-top5000-b01-20260718
細路	小孩	syn	syn-top5000-b01-20260718
攰	累	syn	syn-top5000-b01-20260718
好食	好吃	syn	syn-top5000-b01-20260718
唔見	不見	syn	syn-top5000-b01-20260718
食飯	吃飯	syn	syn-top5000-b01-20260718
過嚟	過來	syn	syn-top5000-b01-20260718
點算	怎麼辦	syn	syn-top5000-b01-20260718
出聲	説話	syn	syn-top5000-b01-20260718
定係	還是	syn	syn-top5000-b01-20260718
冇乜	沒什麼	syn	syn-top5000-b01-20260718
諗起	想起	syn	syn-top5000-b01-20260718
睇住	盯住	syn	syn-top5000-b01-20260718
掛住	想念	syn	syn-top5000-b01-20260718
唔好意思	對不起	syn	syn-top5000-b01-20260718
大佬	大哥	syn	syn-top5000-b01-20260718
揸	拿	syn	syn-top5000-b01-20260718
先至	才	syn	syn-top5000-b01-20260718
姨姨	阿姨	syn	syn-top5000-b01-20260718
冇事	無妨	syn	syn-top5000-b01-20260718
得閒	有空	syn	syn-top5000-b01-20260718
返學	上學	syn	syn-top5000-b01-20260718
返嚟	回來	syn	syn-top5000-b01-20260718
嘈	吵	syn	syn-top5000-b01-20260718
嗰個	那個	syn	syn-top5000-b01-20260718
肚餓	飢餓	syn	syn-top5000-b01-20260718
冇錯	沒錯	syn	syn-top5000-b01-20260718
講嘢	説話	syn	syn-top5000-b01-20260718
好睇	好看	syn	syn-top5000-b01-20260718
靚仔	帥哥	syn	syn-top5000-b01-20260718
令到	使得	syn	syn-top5000-b01-20260718
一係	要麼	syn	syn-top5000-b01-20260718
上堂	上課	syn	syn-top5000-b01-20260718
放低	放下	syn	syn-top5000-b01-20260718
