literal	pos	family	voice	note	trust	stratum	rank	verdict	fix_pos	fix_family	fix_voice	audit_note
一齊	r			heuristic	high	high|gate	144					
下去	v			verb-suffix;heuristic	high	high|gate	2512					
也好	v			verb-suffix;heuristic	high	high|gate	4173					
五	x			numeral;heuristic	high	high|gate	347					
以上	v			verb-suffix;heuristic	high	high|gate	2331					
做好	v			verb-suffix;p1;heuristic	high	high|gate	2278					
兜過	v			verb-suffix;heuristic	high	high|gate	1863					
再	r			heuristic	high	high|gate	73					
千	x			numeral;heuristic	high	high|gate	3185					
即刻	r			heuristic	high	high|gate	201					
原來	v			verb-suffix;heuristic	high	high|gate	171					
及	x			heuristic	high	high|gate	1314					
句	n,x			audit-high;review	high	high|gate	403					
只好	v			verb-suffix;heuristic	high	high|gate	1893					
可能	a,r			audit-high;review	high	high|gate	143					
各	x			heuristic	high	high|gate	3159					
咗下	v			verb-suffix;p1;heuristic	high	high|gate	4006					
唔係	v,x			heuristic	high	high|gate	57					
唔好	v			verb-suffix;heuristic	high	high|gate	71					
報仇	v			audit-high;review	high	high|gate	2809					
多	a,r			heuristic;p1	high	high|gate	65					
天下	v			verb-suffix;heuristic	high	high|gate	4576					
對住	v			verb-suffix;p1;heuristic	high	high|gate	1441					
幾好	v			verb-suffix;heuristic	high	high|gate	1096					
從來	v			verb-suffix;heuristic	high	high|gate	742					
我過	v			verb-suffix;p1;heuristic	high	high|gate	4234					
手上	v			verb-suffix;heuristic	high	high|gate	813					
才	r,x			heuristic	high	high|gate	1453					
拖住	v			verb-suffix;p1;heuristic	high	high|gate	2186					
掛住	v			verb-suffix;heuristic	high	high|gate	805					
是	v,x			heuristic;p1	high	high|gate	139					
更	r			heuristic	high	high|gate	363					
更好	v			verb-suffix;p1;heuristic	high	high|gate	3616					
此	x			heuristic;p1	high	high|gate	2037					
牀上	v			verb-suffix;p1;heuristic	high	high|gate	4927					
的	x			heuristic	high	high|gate	42					
看好	v			verb-suffix;heuristic	high	high|gate	4542					
真實	a			audit-high;review	high	high|gate	2519					
社會主義	n			len4-noun-heuristic	high	high|gate	3625					
而且	x			heuristic	high	high|gate	342					
能夠	v,x			heuristic	high	high|gate	864					
與	x			heuristic	high	high|gate	892					
行開	v			verb-suffix;heuristic	high	high|gate	4392					
話過	v			verb-suffix;p1;heuristic	high	high|gate	4395					
諗住	v			verb-suffix;heuristic	high	high|gate	373					
講完	v			verb-suffix;p1;heuristic	high	high|gate	714					
越來	v			verb-suffix;p1;heuristic	high	high|gate	3457					
跟住	v			verb-suffix;heuristic	high	high|gate	140					
返起	v			verb-suffix;p1;heuristic	high	high|gate	1595					
需要	n,v			heuristic	high	high|gate	420					
一點	n			cow-single	low	low|draft	1264					
不能	v			cow-single	low	low|draft	2180					
串	n			cow-single	low	low|draft	1213					
今晚	n			cow-single	low	low|draft	523					
佔	v			cow-single	low	low|draft	3628					
例外	n			cow-single	low	low|draft	3946					
信息	n			cow-single	low	low|draft	4773					
假期	n			cow-single	low	low|draft	3629					
偷	v			cow-single	low	low|draft	1935					
先生	n			cow-single	low	low|draft	521					
內心	n			cow-single	low	low|draft	1187					
全	r			cow-single	low	low|draft	1346					
分鐘	n			cow-single	low	low|draft	560					
判斷	n			cow-single	low	low|draft	4483					
即時	n			cow-single	low	low|draft	3582					
受	v			cow-single;p1	low	low|draft	1014					
叫	v			cow-single	low	low|draft	80					
喂	n			cow-single	low	low|draft	90					
回到	v			cow-single	low	low|draft	2694					
地位	n			cow-single	low	low|draft	4187					
基於	v			cow-single	low	low|draft	2999					
報告	n			cow-single	low	low|draft	3951					
報答	v			cow-single	low	low|draft	4780					
塔	n			cow-single	low	low|draft	1316					
大多數	n			cow-single	low	low|draft	4781					
大部份	r			cow-single	low	low|draft	2587					
天堂	n			cow-single	low	low|draft	4231					
失蹤	v			cow-single	low	low|draft	1278					
子彈	n			cow-single	low	low|draft	3910					
守	v			cow-single	low	low|draft	4367					
將軍	n			cow-single	low	low|draft	1746					
應付	v			cow-single	low	low|draft	4233					
星星	n			cow-single	low	low|draft	1799					
時候	n			cow-single	low	low|draft	129					
最少	n			cow-single	low	low|draft	3969					
氣	n			cow-single	low	low|draft	1180					
水平	n			cow-single	low	low|draft	3481					
沉默	n			cow-single	low	low|draft	1809					
浴室	n			cow-single	low	low|draft	3337					
液體	n			cow-single	low	low|draft	4516					
漏	v			cow-single	low	low|draft	3241					
炸彈	n			cow-single	low	low|draft	4027					
無助	n			cow-single	low	low|draft	4722					
燈	n			cow-single	low	low|draft	739					
發燒	n			cow-single	low	low|draft	4244					
的士	n			cow-single	low	low|draft	942					
看	v			cow-single	low	low|draft	750					
瞬間	n			cow-single	low	low|draft	1054					
程度	n			cow-single	low	low|draft	1826					
窗口	n			cow-single	low	low|draft	2703					
站	v			cow-single	low	low|draft	774					
算	v			cow-single	low	low|draft	330					
簡單	n			cow-single	low	low|draft	571					
終點	n			cow-single	low	low|draft	1130					
老闆	n			cow-single	low	low|draft	1661					
聞	v			cow-single	low	low|draft	1542					
腦	n			cow-single	low	low|draft	1983					
舐	v			cow-single	low	low|draft	2417					
茶	n			cow-single	low	low|draft	1320					
草	n			cow-single	low	low|draft	3527					
蛇	n			cow-single	low	low|draft	1404					
蠢	a			cow-single	low	low|draft	3414					
試	v			cow-single	low	low|draft	699					
買	v			cow-single;p1	low	low|draft	152					
路線	n			cow-single	low	low|draft	4998					
迫	v			cow-single	low	low|draft	3490					
迷宮	n			cow-single	low	low|draft	2128					
逐	v			cow-single	low	low|draft	3887					
錢	n			cow-single	low	low|draft	227					
陰	n			cow-single;p1	low	low|draft	2174					
面	n			cow-single	low	low|draft	249					
鞭	n			cow-single	low	low|draft	4333					
鼠標	n			cow-single	low	low|draft	4272					
一句話	u			no-source;fallback	low	low|u	3938					
一塊	u			no-source;fallback	low	low|u	2925					
一招	u			no-source;p1;fallback	low	low|u	3358					
一拳	u			no-source;p1;fallback	low	low|u	2420					
一摸	u			no-source;p1;fallback	low	low|u	4420					
一羣	u			no-source;p1;fallback	low	low|u	4834					
一輪	u			no-source;p1;fallback	low	low|u	3003					
下身	u			no-source;fallback	low	low|u	2457					
不敢	u			no-source;fallback	low	low|u	3843					
不禁	u			no-source;fallback	low	low|u	1906					
中意	u			no-source;fallback	low	low|u	2193					
主要	u			no-source;fallback	low	low|u	1841					
之內	u			no-source;fallback	low	low|u	2851					
乎	u			no-source;fallback	low	low|u	3253					
也是	u			no-source;p1;fallback	low	low|u	525					
也能	u			no-source;p1;fallback	low	low|u	3800					
什麼時候	u			no-source;fallback	low	low|u	3103					
住部	u			no-source;p1;fallback	low	low|u	4847					
你在	u			no-source;p1;fallback	low	low|u	3426					
依句	u			no-source;p1;fallback	low	low|u	3577					
依間	u			no-source;p1;fallback	low	low|u	3846					
傻妹	u			no-source;fallback	low	low|u	2762					
億元	u			no-source;p1;fallback	low	low|u	4836					
共	u			no-source;fallback	low	low|u	2472					
出名	u			no-source;fallback	low	low|u	2082					
出嚟	u			no-source;fallback	low	low|u	307					
到手	u			no-source;fallback	low	low|u	3393					
功夫	u			no-source;fallback	low	low|u	4064					
功課	u			no-source;fallback	low	low|u	1511					
卡通片	u			no-source;fallback	low	low|u	4125					
去邊	u			no-source;p1;fallback	low	low|u	1301					
可	u			no-source;fallback	low	low|u	334					
同人	u			no-source;fallback	low	low|u	1166					
哼	u			no-source;fallback	low	low|u	1188					
單	u			no-source;p1;fallback	low	low|u	1512					
單純	u			no-source;fallback	low	low|u	3367					
噼	u			no-source;fallback	low	low|u	1103					
埋個	u			no-source;p1;fallback	low	low|u	2950					
夠啦	u			no-source;p1;fallback	low	low|u	4965					
大嗌	u			no-source;fallback	low	low|u	1564					
大師	u			no-source;fallback	low	low|u	4292					
大把	u			no-source;fallback	low	low|u	2084					
大盤	u			no-source;p1;fallback	low	low|u	2689					
大膽	u			no-source;fallback	low	low|u	3857					
失戀	u			no-source;fallback	low	low|u	4011					
奇	u			no-source;fallback	low	low|u	3368					
女子	u			no-source;fallback	low	low|u	4860					
女生	u			no-source;fallback	low	low|u	1866					
好奇	u			no-source;fallback	low	low|u	700					
好象	u			no-source;p1;fallback	low	low|u	3675					
如常	u			no-source;fallback	low	low|u	4968					
安	u			no-source;p1;fallback	low	low|u	4294					
小雪	u			no-source;fallback	low	low|u	2219					
就在	u			no-source;p1;fallback	low	low|u	2603					
屋企人	u			no-source;fallback	low	low|u	1199					
屍	u			no-source;fallback	low	low|u	3728					
嵐嵐	u			no-source;p1;fallback	low	low|u	1878					
幼稚園	u			no-source;fallback	low	low|u	2067					
床	u			no-source;p1;fallback	low	low|u	484					
得閒	u			no-source;fallback	low	low|u	895					
心急	u			no-source;fallback	low	low|u	3262					
情願	u			no-source;fallback	low	low|u	4709					
愈來愈	u			no-source;fallback	low	low|u	3299					
慢	u			no-source;fallback	low	low|u	1552					
應	u			no-source;p1;fallback	low	low|u	1255					
成晚	u			no-source;fallback	low	low|u	4078					
成爲	u			no-source;fallback	low	low|u	427					
我度	u			no-source;p1;fallback	low	low|u	3641					
我怕	u			no-source;p1;fallback	low	low|u	2284					
我攬	u			no-source;p1;fallback	low	low|u	4711					
房門	u			no-source;fallback	low	low|u	3165					
扁	u			no-source;fallback	low	low|u	2681					
打人	u			no-source;fallback	low	low|u	4875					
抽出	u			no-source;p1;fallback	low	low|u	4712					
插件	u			no-source;p1;fallback	low	low|u	4170					
換衫	u			no-source;fallback	low	low|u	2570					
收埋	u			no-source;fallback	low	low|u	2123					
攻	u			no-source;fallback	low	low|u	4198					
新抱	u			no-source;fallback	low	low|u	4983					
斷	u			no-source;fallback	low	low|u	1724					
施工	u			no-source;fallback	low	low|u	4264					
是但	u			no-source;fallback	low	low|u	2883					
是個	u			no-source;p1;fallback	low	low|u	1544					
晒	u			no-source;p1;fallback	low	low|u	206					
曦	u			no-source;fallback	low	low|u	1456					
有了	u			no-source;p1;fallback	low	low|u	2499					
有事	u			no-source;fallback	low	low|u	1296					
林布	u			no-source;p1;fallback	low	low|u	2169					
某	u			no-source;fallback	low	low|u	1391					
梗係	u			no-source;fallback	low	low|u	537					
正在	u			no-source;fallback	low	low|u	2355					
歲的	u			no-source;p1;fallback	low	low|u	3989					
殭屍	u			no-source;fallback	low	low|u	2632					
沿途	u			no-source;fallback	low	low|u	4653					
淡	u			no-source;fallback	low	low|u	2819					
淺	u			no-source;p1;fallback	low	low|u	3118					
渣	u			no-source;fallback	low	low|u	1541					
熊仔	u			no-source;fallback	low	low|u	1319					
熱	u			no-source;fallback	low	low|u	701					
熱鬧	u			no-source;fallback	low	low|u	4597					
爽身粉	u			no-source;fallback	low	low|u	3408					
班長	u			no-source;fallback	low	low|u	907					
理性	u			no-source;fallback	low	low|u	3380					
的事	u			no-source;p1;fallback	low	low|u	2146					
的確	u			no-source;fallback	low	low|u	1003					
真係	u			no-source;fallback	low	low|u	59					
眼光	u			no-source;fallback	low	low|u	3828					
睇見	u			no-source;fallback	low	low|u	4601					
知有	u			no-source;p1;fallback	low	low|u	3204					
礦場	u			no-source;fallback	low	low|u	3205					
移	u			no-source;fallback	low	low|u	3064					
突破	u			no-source;fallback	low	low|u	4311					
