literal	pos	family	voice	source	evidence	confidence	verdict	review_note
一丁不識	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一不做二不休	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一乾二淨	a	chengyu		china-idiom+agent	state-definition;example-result-state	high	accept	conservative syntax review
一了百了	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一介不取	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一代不如一代	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一個巴掌拍不響	u	chengyu		china-idiom+agent	clause-without-syntax-slot	low	accept	conservative syntax review
一個蘿蔔一個坑	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一刀切	n,v	chengyu		china-idiom+agent	agent-reviewed-override	high	accept	conservative syntax review
一分一毫	n	chengyu		china-idiom+agent	agent-reviewed-override	high	accept	conservative syntax review
一分為二	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一分耕耘一分收穫	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一刻千金	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一動不如一靜	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一去不復返	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一反常態	a	chengyu		china-idiom+agent	state-definition	high	accept	conservative syntax review
一呼百應	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一命歸西	v	chengyu		china-idiom+agent	action-definition	high	accept	conservative syntax review
一問三不知	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一國三公	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一團漆黑	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一塌糊塗	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一夔已足	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一天一地	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一失足成千古恨	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一字之師	n	chengyu		china-idiom+agent	nominal-slot-or-referent	high	accept	conservative syntax review
一字千金	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一字褒貶	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一定之規	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一寸光陰一寸金	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一年半載	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一式一樣	a	chengyu		china-idiom+agent	state-definition	high	accept	conservative syntax review
一彈指頃	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一往情深	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一往直前	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一得之功	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一念之差	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一息尚存	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一手包辦	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一技之長	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一把死拿	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一拍即合	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一搭一檔	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一擲千金	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一改故轍	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一日三秋	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一日之雅	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一日千里	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一時半晌	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一暴十寒	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一曝十寒	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一朝一夕	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一朝天子一朝臣	u	chengyu		china-idiom+agent	clause-without-syntax-slot	low	accept	conservative syntax review
一木難支	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一本萬利	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一板三眼	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
