literal	pos	family	voice	note	source	confidence
中毒	v,n			audit-high	review	high
自相矛盾	a,v	idiom		audit-high	review	high
擦掉	v			audit-high	review	high
一盤散沙	a	idiom		audit-high	review	high
口齒不清	a	idiom		audit-high	review	high
必須	r			audit-high	review	high
扯	v			audit-high	review	high
怠慢	v,a			audit-high	review	high
遲鈍	a			audit-high	review	high
全力以赴	v	idiom		audit-high	review	high
可能	a,r			audit-high	review	high
完全	a,r			audit-high	review	high
異步	a			audit-high	review	high
真實	a			audit-high	review	high
曲解	v			audit-high	review	high
低落	a			audit-high	review	high
掉頭	v			audit-high	review	high
完整無缺	a	idiom		audit-high	review	high
無關	a,v			audit-high	review	high
憂鬱	a			audit-high	review	high
報仇	v			audit-high	review	high
正當	a			audit-high	review	high
好像	r,v			audit-high	review	high
粗魯	a			audit-high	review	high
荒廢	v,a			audit-high	review	high
精神失常	a			audit-high	review	high
句	n,x			audit-high	review	high
半途而廢	v	idiom		audit-high	review	high
躡手躡腳	v	idiom		audit-high	review	high
營養元素	n			audit-med	review	high
色情電影	n			audit-med	review	high
數據網絡	n			audit-med	review	high
金口玉言	n	idiom		audit-med	review	high
清算業務	n			audit-med	review	high
造型藝術	n			audit-med	review	high
上皮細胞	n			audit-med	review	high
此時此刻	r			audit-med	review	high
真憑實據	n	idiom		audit-med	review	high
一個二個	x			audit-med	review	high
氣管痙攣	n			audit-med	review	high
奧林匹克	n			audit-med	review	high
能源短缺	n			audit-med	review	high
高脂血症	n			audit-med	review	high
幾何級數	n			audit-med	review	high
沉積作用	n			audit-med	review	high
荒山野嶺	n	idiom		audit-med	review	high
衣食父母	n	idiom		audit-med	review	high
吳越春秋	n			audit-med	review	high
接力賽跑	n			audit-med	review	high
戊戌變法	n			audit-med	review	high
免疫應答	n			audit-med	review	high
保護模式	n			audit-med	review	high
應變措施	n			audit-med	review	high
克羅地亞	n			audit-med	review	high
高能粒子	n			audit-med	review	high
尼加拉瓜	n			audit-med	review	high
生活水準	n			audit-med	review	high
脱繮之馬	n	idiom		audit-med	review	high
總政治部	n			audit-med	review	high
變分原理	n			audit-med	review	high
低等生物	n			audit-med	review	high
化學工業	n			audit-med	review	high
個人資料	n			audit-med	review	high
熱線電話	n			audit-med	review	high
血肉之軀	n	idiom		audit-med	review	high
地下錢莊	n			audit-med	review	high
背景音樂	n			audit-med	review	high
公共安全	n			audit-med	review	high
薩克森州	n			audit-med	review	high
加工成本	n			audit-med	review	high
退伍軍人	n			audit-med	review	high
心理醫生	n			audit-med	review	high
紡織工業	n			audit-med	review	high
保留劇目	n			audit-med	review	high
奇談怪論	n	idiom		audit-med	review	high
破竹之勢	n	idiom		audit-med	review	high
文殊菩薩	n			audit-med	review	high
保定地區	n			audit-med	review	high
鳥類學家	n			audit-med	review	high
法治建設	n			audit-med	review	high
供油系統	n			audit-med	review	high
飛來橫禍	n	idiom		audit-med	review	high
開學典禮	n			audit-med	review	high
專員公署	n			audit-med	review	high
