phase	literal	pos	family	voice	note	trust	stratum	verdict	fix_pos	fix_family	fix_voice	audit_note
p0	一夕之間	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	gate	OK				時間名物「一夕」之字格；n 可（副用常見但主標 n 不毒閘）
p0	一手一腳	n,r	idiom		no-source;fallback;p2-idiom:ABAC;p2-idiom-heuristic;full-r1-audit;review;low|u 有明確詞類 → n,r	high	gate	OK				
p0	一輩子	n,r			no-source;fallback;full-r1-audit;review;一生	high	gate	OK				
p0	七	x			numeral;heuristic	high	gate	OK				
p0	上車	v			no-source;fallback;full-r1-audit;review;u 有明確詞類 → v	high	gate	OK				
p0	不如	r,x			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	gate	OK				
p0	不知不覺	r			no-source;fallback;p2-idiom:ABAC;p2-idiom-heuristic;full-r1-audit;review;固定熟語；副；family 留;full-r1-clear-idiom	high	gate	OK				pos r 正確；family 空唔影響閘用詞類
p0	之前	r,x			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	gate	OK				
p0	了	x			heuristic	high	gate	OK				
p0	以	x			heuristic	high	gate	OK				
p0	以弗所書	n			no-source;fallback;full-r1-audit;review;u 有明確詞類 → n	high	gate	OK				
p0	仲有	r,x			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	gate	OK				
p0	低落	a			audit-high;review	high	gate	OK				
p0	來電	n,v			no-source;fallback;full-r1-audit;review;u 有明確詞類 → n,v	high	gate	OK				
p0	依家	n,r			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	gate	OK				
p0	偵探	n			cow-multi;p1-audit;review;名（職業／角色）；動義用偵查，v 假陽	high	gate	OK				
p0	傀儡政府	n			len4-noun-heuristic	high	gate	OK				
p0	兜	n,v			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	gate	OK				
p0	出口	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	gate	OK				
p0	出發	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	gate	OK				
p0	刺	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	gate	OK				
p0	加入	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	gate	OK				
p0	包	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	gate	OK				
p0	原來	r			verb-suffix;heuristic;p1-audit;review;verb-suffix假陽；副「原先／原來如此」	high	gate	OK				
p0	取得一致	v			no-source;fallback;full-r1-audit;review;u 有明確詞類 → v	high	gate	OK				
p0	受驚	v		passive	prefix-passive;heuristic	high	gate	OK				
p0	可喜可賀	a	idiom		no-source;fallback;p2-idiom:ABAC;p2-idiom-heuristic;full-r1-audit;review;low|u 有明確詞類 → a	high	gate	OK				
p0	各	x			heuristic	high	gate	OK				
p0	名單	n			no-source;fallback;full-r1-audit;review;u 有明確詞類 → n	high	gate	OK				
p0	吞噬細胞	n			len4-noun-heuristic	high	gate	OK				
p0	哈	x			no-source;fallback;full-r1-audit;review;u 有明確詞類 → x	high	gate	OK				
p0	唾棄	v			no-source;fallback;full-r1-audit;review;u 有明確詞類 → v	high	gate	OK				
p0	嗰	x			no-source;fallback;p1-cleanup;canto-heuristic;review	high	gate	OK				
p0	四處	n,r			no-source;fallback;full-r1-audit;review;u 有明確詞類 → n,r	high	gate	OK				
p0	國外市場	n			len4-noun-heuristic	high	gate	OK				
p0	大好	a			verb-suffix;heuristic;verb-suffix-suspect;trust-low;full-r1-audit;review;verb-suffix 假陽；大好＝形	high	gate	OK				
p0	大戰	n,v			no-source;fallback;full-r1-audit;review;名動兩可	high	gate	OK				
p0	天淵之別	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	gate	OK				
p0	失敗	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	gate	OK				
p0	好	a,r			no-source;fallback;p1-cleanup;canto-heuristic;review	high	gate	OK				
p0	媽咪	n			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	gate	OK				
p0	完成	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	gate	OK				
p0	實實在在	a,r			no-source;fallback;p2-idiom:AABB;p2-idiom-heuristic;review;full-r1-audit;review;AABB 真實／確實;full-r1-clear-idiom	high	gate	OK				
p0	寫	v			cow-multi;full-r1-audit;review;只係動；a 假陽會毒同形閘	high	gate	OK				
p0	專區	n			no-source;fallback;full-r1-audit;review;清晰名詞／專名	high	gate	OK				
p0	專家系統	n			len4-noun-heuristic	high	gate	OK				
p0	導航系統	n			len4-noun-heuristic	high	gate	OK				
p0	小恩小惠	n	idiom		no-source;fallback;p2-idiom:ABAC;p2-idiom-heuristic;full-r1-audit;review;low|u 有明確詞類 → n	high	gate	OK				
p0	幼稚	a			cow-single;full-r1-audit;review;幼稚＝形，非名	high	gate	OK				
p0	弦外之音	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	gate	OK				
p0	從從容容	a,r	idiom		no-source;fallback;p2-idiom:AABB;p2-idiom-heuristic;review;full-r1-audit;review;high|u 有明確詞類 → a,r	high	gate	OK				
