batch_id	head	reason
post-syn-ant-ring5k10k-b04-20260718	唐山	no_gradable_opposite
post-syn-ant-ring5k10k-b01-20260718	通話	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	客場	no_gradable_opposite
post-syn-ant-ring5k10k-b01-20260718	睡覺	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	傳媒	no_gradable_opposite
post-syn-ant-ring5k10k-b06-20260718	老闆娘	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	款項	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	韓國	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	世錦賽	no_gradable_opposite
post-syn-ant-ring5k10k-b02-20260718	查收	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	手提電話	no_gradable_opposite
post-syn-ant-ring5k10k-b06-20260718	礦山	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	場景	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	雙臂	no_gradable_opposite
post-syn-ant-ring5k10k-b01-20260718	底線	no_gradable_opposite
post-syn-ant-ring5k10k-b03-20260718	中小	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	押金	no_gradable_opposite
post-syn-ant-ring5k10k-b02-20260718	水利	no_gradable_opposite
post-syn-ant-ring5k10k-b02-20260718	夢見	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	占卜	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	但願	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	婷婷	no_gradable_opposite
post-syn-ant-ring5k10k-b03-20260718	胎兒	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	機體	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	疤痕	no_gradable_opposite
post-syn-ant-ring5k10k-b01-20260718	英寸	no_gradable_opposite
post-syn-ant-ring5k10k-b01-20260718	在外	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	負載	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	作物	no_gradable_opposite
post-syn-ant-ring5k10k-b03-20260718	抽水	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	激光	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	隨筆	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	南非	no_gradable_opposite
post-syn-ant-ring5k10k-b01-20260718	源頭	no_gradable_opposite
post-syn-ant-ring5k10k-b03-20260718	非禮	no_gradable_opposite
post-syn-ant-ring5k10k-b06-20260718	擴容	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	人事	no_gradable_opposite
