literal	pos	family	voice	note	source	confidence
阿茵	u			no-source	fallback	low
隔住	v			verb-suffix	heuristic	medium
黑袍	u			no-source	fallback	low
等我	u			no-source	fallback	low
女的	u			no-source	fallback	low
毛澤東	u			no-source	fallback	low
和他	u			no-source	fallback	low
有一種	u			no-source	fallback	low
叫我	u			no-source	fallback	low
這兩天	u			no-source	fallback	low
本週	u			no-source	fallback	low
端口	u			no-source	fallback	low
都說	u			no-source	fallback	low
就說	u			no-source	fallback	low
是呀	u			no-source	fallback	low
一落	u			no-source	fallback	low
一部	u			no-source	fallback	low
仲想	u			no-source	fallback	low
住講	u			no-source	fallback	low
你仲	u			no-source	fallback	low
依加	u			no-source	fallback	low
大口	u			no-source	fallback	low
好講	u			no-source	fallback	low
完個	u			no-source	fallback	low
床邊	u			no-source	fallback	low
想食	u			no-source	fallback	low
托	u			no-source	fallback	low
拍過	u			no-source	fallback	low
杯杯	u			no-source	fallback	low
米奇	u			no-source	fallback	low
行緊	u			no-source	fallback	low
褲褲	u			no-source	fallback	low
訓得	u			no-source	fallback	low
鋪頭	u			no-source	fallback	low
需	v			cow-single	cow	medium
你不是	u			no-source	fallback	low
驗證碼	u			no-source	fallback	low
是吧	u			no-source	fallback	low
有關規定	u			no-source	fallback	low
可以用	u			no-source	fallback	low
對他	u			no-source	fallback	low
要做	u			no-source	fallback	low
住在	u			no-source	fallback	low
請你	u			no-source	fallback	low
我有	u			no-source	fallback	low
幹啥	u			no-source	fallback	low
舞臺	u			no-source	fallback	low
聯通	u			no-source	fallback	low
經濟發展	u			no-source	fallback	low
對其	u			no-source	fallback	low
仔同	u			no-source	fallback	low
企響	u			no-source	fallback	low
個種	u			no-source	fallback	low
嘟嘟	u			no-source	fallback	low
嘢㗎	u			no-source	fallback	low
好識	u			no-source	fallback	low
封信	u			no-source	fallback	low
心心	u			no-source	fallback	low
我份	u			no-source	fallback	low
我信	u			no-source	fallback	low
我個腦	u			no-source	fallback	low
春	n			cow-single	cow	medium
有過	u			no-source	fallback	low
未講	u			no-source	fallback	low
歪	u			no-source	fallback	low
每一個	u			no-source	fallback	low
漫澄	u			no-source	fallback	low
當我地	u			no-source	fallback	low
肥培	u			no-source	fallback	low
講多	u			no-source	fallback	low
陣時	u			no-source	fallback	low
餐肉	u			no-source	fallback	low
更有	u			no-source	fallback	low
它是	u			no-source	fallback	low
經銷商	u			no-source	fallback	low
沒啥	u			no-source	fallback	low
是最	u			no-source	fallback	low
比較好	u			no-source	fallback	low
的博客	u			no-source	fallback	low
這兩個	u			no-source	fallback	low
是對	u			no-source	fallback	low
你想	u			no-source	fallback	low
日本人	u			no-source	fallback	low
告訴記者	u			no-source	fallback	low
一巴	u			no-source	fallback	low
交畀	u			no-source	fallback	low
信希	u			no-source	fallback	low
勞	u			no-source	fallback	low
厘米	u			no-source	fallback	low
害怕	n,v			cow-multi	cow	medium
帶點	u			no-source	fallback	low
我腦	u			no-source	fallback	low
我頭	u			no-source	fallback	low
某個	u			no-source	fallback	low
條仆	u			no-source	fallback	low
沒了	u			no-source	fallback	low
田中	u			no-source	fallback	low
留返	u			no-source	fallback	low
邊呀	u			no-source	fallback	low
醫神	u			no-source	fallback	low
阿源	u			no-source	fallback	low
除此	u			no-source	fallback	low
頭望	u			no-source	fallback	low
各級	u			no-source	fallback	low
哥們	u			no-source	fallback	low
我又	u			no-source	fallback	low
也不知道	u			no-source	fallback	low
鹹溼	u			no-source	fallback	low
但在	u			no-source	fallback	low
不上	u			no-source	fallback	low
找你	u			no-source	fallback	low
我很	u			no-source	fallback	low
1	x			numeral	heuristic	high
一擊	u			no-source	fallback	low
周白波	u			no-source	fallback	low
嘢好	u			no-source	fallback	low
四腳	u			no-source	fallback	low
好熟	u			no-source	fallback	low
左行	u			no-source	fallback	low
幹	n,v			cow-multi	cow	medium
幾分	u			no-source	fallback	low
條八婆	u			no-source	fallback	low
沉日	u			no-source	fallback	low
火火	u			no-source	fallback	low
玩下	u			no-source	fallback	low
直上	u			no-source	fallback	low
踏出	u			no-source	fallback	low
過呢	u			no-source	fallback	low
阿風	u			no-source	fallback	low
面上	u			no-source	fallback	low
是很	u			no-source	fallback	low
不高	u			no-source	fallback	low
站點	u			no-source	fallback	low
寫了	u			no-source	fallback	low
不做	u			no-source	fallback	low
操作系統	n			len4-noun-heuristic	heuristic	medium
我和	u			no-source	fallback	low
不信	u			no-source	fallback	low
我沒	u			no-source	fallback	low
跟他	u			no-source	fallback	low
是有	u			no-source	fallback	low
資料夾	u			no-source	fallback	low
我把	u			no-source	fallback	low
去吧	u			no-source	fallback	low
諾基亞	u			no-source	fallback	low
網通	u			no-source	fallback	low
一幅	u			no-source	fallback	low
二話	u			no-source	fallback	low
企返	u			no-source	fallback	low
十個	u			no-source	fallback	low
君	u			no-source	fallback	low
咗身	u			no-source	fallback	low
嚇死	u			no-source	fallback	low
好慢	u			no-source	fallback	low
慌張	u			no-source	fallback	low
我響	u			no-source	fallback	low
所料	u			no-source	fallback	low
汪震	u			no-source	fallback	low
玩得	u			no-source	fallback	low
私	u			no-source	fallback	low
蟲蟲	u			no-source	fallback	low
講架	u			no-source	fallback	low
那天	u			no-source	fallback	low
鍼對	u			no-source	fallback	low
更好的	u			no-source	fallback	low
招商	u			no-source	fallback	low
攝像頭	u			no-source	fallback	low
三是	u			no-source	fallback	low
擡起	u			no-source	fallback	low
跑到	u			no-source	fallback	low
有一天	u			no-source	fallback	low
玩玩	u			no-source	fallback	low
二樓	u			no-source	fallback	low
你仲有	u			no-source	fallback	low
再同	u			no-source	fallback	low
厚	u			no-source	fallback	low
咗句	u			no-source	fallback	low
地班	u			no-source	fallback	low
奴隸	n			cow-single	cow	medium
幾鐘	u			no-source	fallback	low
我出	u			no-source	fallback	low
會知	u			no-source	fallback	low
條裙	u			no-source	fallback	low
玩到	u			no-source	fallback	low
窄	u			no-source	fallback	low
興	u			no-source	fallback	low
藍嘉浩	u			no-source	fallback	low
行屍	u			no-source	fallback	low
追到	u			no-source	fallback	low
進化	n			cow-single	cow	medium
雍慧	u			no-source	fallback	low
雪兒	u			no-source	fallback	low
頌晴	u			no-source	fallback	low
麥皓臻	u			no-source	fallback	low
他就	u			no-source	fallback	low
很不錯	u			no-source	fallback	low
就把	u			no-source	fallback	low
把他	u			no-source	fallback	low
就去	u			no-source	fallback	low
我對	u			no-source	fallback	low
虛僞	u			no-source	fallback	low
般的	u			no-source	fallback	low
她說	u			no-source	fallback	low
前幾天	u			no-source	fallback	low
新建	u			no-source	fallback	low
一分	u			no-source	fallback	low
先同	u			no-source	fallback	low
再行	u			no-source	fallback	low
冬姐	u			no-source	fallback	low
姬樂	u			no-source	fallback	low
就過	u			no-source	fallback	low
布布	u			no-source	fallback	low
救返	u			no-source	fallback	low
敵	u			no-source	fallback	low
條腰	u			no-source	fallback	low
痛到	u			no-source	fallback	low
講多次	u			no-source	fallback	low
講就	u			no-source	fallback	low
貧大	u			no-source	fallback	low
食緊	u			no-source	fallback	low
可以通過	u			no-source	fallback	low
才知道	u			no-source	fallback	low
找我	u			no-source	fallback	low
去做	u			no-source	fallback	low
運營商	u			no-source	fallback	low
華爲	u			no-source	fallback	low
寬帶	u			no-source	fallback	low
很重要	u			no-source	fallback	low
長時間	u			no-source	fallback	low
信息化	u			no-source	fallback	low
該公司	u			no-source	fallback	low
北大	u			no-source	fallback	low
這是一個	u			no-source	fallback	low
一上	u			no-source	fallback	low
一家	u			no-source	fallback	low
一秒	u			no-source	fallback	low
一返	u			no-source	fallback	low
依條	u			no-source	fallback	low
兩聲	u			no-source	fallback	low
咗望	u			no-source	fallback	low
好怕	u			no-source	fallback	low
子言	u			no-source	fallback	low
小平平	u			no-source	fallback	low
幾個鐘	u			no-source	fallback	low
思見	u			no-source	fallback	low
想同	u			no-source	fallback	low
成點	u			no-source	fallback	low
有次	u			no-source	fallback	low
望望	u			no-source	fallback	low
比利	u			no-source	fallback	low
激烈	n,v			cow-multi	cow	medium
無見	u			no-source	fallback	low
盆盆	u			no-source	fallback	low
盈	u			no-source	fallback	low
着衫	u			no-source	fallback	low
行出	u			no-source	fallback	low
訓到	u			no-source	fallback	low
都講	u			no-source	fallback	low
鞋鞋	u			no-source	fallback	low
鹼液	u			no-source	fallback	low
擡高	u			no-source	fallback	low
用戶名	u			no-source	fallback	low
而不	u			no-source	fallback	low
想去	u			no-source	fallback	low
這個人	u			no-source	fallback	low
個股	u			no-source	fallback	low
在哪	u			no-source	fallback	low
解決方案	u			no-source	fallback	low
要在	u			no-source	fallback	low
一刀	u			no-source	fallback	low
一棵	u			no-source	fallback	low
也許	u			no-source	fallback	low
二來	u			no-source	fallback	low
你明	u			no-source	fallback	low
做個	u			no-source	fallback	low
劉啓	u			no-source	fallback	low
咗車	u			no-source	fallback	low
地入	u			no-source	fallback	low
好凍	u			no-source	fallback	low
嫩	u			no-source	fallback	low
將手	u			no-source	fallback	low
小夫	u			no-source	fallback	low
小貞笑	u			no-source	fallback	low
少人	u			no-source	fallback	low
就行	u			no-source	fallback	low
就點	u			no-source	fallback	low
床度	u			no-source	fallback	low
成班人	u			no-source	fallback	low
未見	u			no-source	fallback	low
無人會	u			no-source	fallback	low
熟練	n,v			cow-multi	cow	medium
蘭卡	u			no-source	fallback	low
衝去	u			no-source	fallback	low
走出	u			no-source	fallback	low
返香港	u			no-source	fallback	low
關你	u			no-source	fallback	low
阿浩	u			no-source	fallback	low
阿軒	u			no-source	fallback	low
上有	u			no-source	fallback	low
但他	u			no-source	fallback	low
而在	u			no-source	fallback	low
轉爲	u			no-source	fallback	low
會被	u			no-source	fallback	low
大的	u			no-source	fallback	low
要想	u			no-source	fallback	low
很小	u			no-source	fallback	low
語言文明	u			no-source	fallback	low
就沒	u			no-source	fallback	low
我省	u			no-source	fallback	low
人民政府	n			len4-noun-heuristic	heuristic	medium
也將	u			no-source	fallback	low
他也	u			no-source	fallback	low
一大	u			no-source	fallback	low
一群	u			no-source	fallback	low
