literal	scope	current_family	proposed_family	source	evidence	confidence	verdict	review_note
一丁不識	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一不做二不休	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一丘之貉	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一乾二淨	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一了百了	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一事無成	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一五一十	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一介不取	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一仍舊貫	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一代不如一代	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一以貫之	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一來一往	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一來二去	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一個二個	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一個巴掌拍不響	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一個蘿蔔一個坑	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一元復始	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一刀兩斷	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一刀切	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一分一毫	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一分一秒	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一分為二	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一分耕耘一分收穫	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一刻千金	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一動不如一靜	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一勞永逸	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一去不復返	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一去不返	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一反常態	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一口咬定	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一吐為快	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一呼百應	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一命嗚呼	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一命歸西	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一哄而上	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一哄而起	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一唱一和	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一問一答	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一問三不知	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一國三公	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一國之主	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一國之君	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一團漆黑	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一塌糊塗	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一塵不染	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一夔已足	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一夕之間	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一夜之間	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一天一地	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一天到晚	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一夫一妻	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一夫當關	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一失足成千古恨	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一如既往	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一孔之見	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一字不落	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一字之差	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一字之師	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一字千金	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一字褒貶	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一官半職	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一定之規	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一寸光陰一寸金	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一展身手	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一己之私	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一己之見	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一帆風順	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一席之地	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一年一度	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一年到頭	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一年半載	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一年四季	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一廂情願	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一式一樣	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一彈指頃	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一往情深	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一往無前	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一往直前	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一得之功	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一得之愚	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一心一德	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一心一意	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一心二用	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一念之差	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一念之間	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一怒之下	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一息尚存	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一意孤行	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一應俱全	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一成不變	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一房一廳	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一手一腳	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一手一足	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一手包辦	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一手遮天	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一技之長	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一把死拿	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一拍即合	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一招半式	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一掃而光	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一掃而空	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一搭一檔	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一擲千金	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一改故轍	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一敗塗地	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一文不值	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一文不名	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一日三秋	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一日之雅	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一日千里	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一星半點	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一時一刻	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一時三刻	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一時之間	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一時半刻	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一時半晌	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一暴十寒	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一曝十寒	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一望無垠	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一望無邊	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一望無際	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一朝一夕	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一朝天子一朝臣	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一木難支	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一本正經	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一本萬利	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一板三眼	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一枕黃粱	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一枝之棲	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一枝獨秀	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一柱擎天	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一概而論	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一模一樣	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一樹百穫	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一步一個腳印	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一步一趨	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一步之遙	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一步登天	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一死一傷	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一毛不拔	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一氣之下	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一氣呵成	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一決勝負	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一決雌雄	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一決高下	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一波三折	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一波又起	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一波未平	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一清二楚	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一清二白	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
