head	reason
兩個	no_gradable_opposite
今次	no_gradable_opposite
機場	no_gradable_opposite
指住	no_gradable_opposite
乜嘢	function_word
視線	no_gradable_opposite
麵包	no_gradable_opposite
再講	function_word
梳化	no_gradable_opposite
第二個	no_gradable_opposite
伸出	no_gradable_opposite
有沒有	function_word
課室	no_gradable_opposite
紙巾	no_gradable_opposite
馬騮	no_gradable_opposite
嗰陣	function_word
總係	function_word
博客	no_gradable_opposite
阿叔	no_gradable_opposite
人哋	function_word
社工	no_gradable_opposite
盡量	function_word
視頻	no_gradable_opposite
嗰時	function_word
影相	no_gradable_opposite
第一次	no_gradable_opposite
等陣	function_word
生果	no_gradable_opposite
音樂	no_gradable_opposite
幾耐	function_word
聽過	no_gradable_opposite
提子	no_gradable_opposite
條友	function_word
消防員	no_gradable_opposite
銀包	no_gradable_opposite
港人	no_gradable_opposite
香蕉	no_gradable_opposite
橙汁	no_gradable_opposite
拖鞋	no_gradable_opposite
班主任	no_gradable_opposite
就快	function_word
第二日	no_gradable_opposite
擰轉	no_gradable_opposite
將會	function_word
雀仔	no_gradable_opposite
兔仔	no_gradable_opposite
匙羹	no_gradable_opposite
諗法	no_gradable_opposite
雞蛋	no_gradable_opposite
大脾	no_gradable_opposite
故仔	no_gradable_opposite
嚟到	no_gradable_opposite
回復	no_gradable_opposite
不嬲	function_word
下個	function_word
唔怪得	function_word
粗口	no_gradable_opposite
估到	no_gradable_opposite
數據庫	no_gradable_opposite
看更	no_gradable_opposite
在線	no_gradable_opposite
嘴唇	no_gradable_opposite
水喉	no_gradable_opposite
隨住	function_word
嘢食	no_gradable_opposite
這裡	function_word
直頭	function_word
睇落	function_word
算了	function_word
還有	function_word
