head	essay_frequency	syn_tails	syn_neighbors
唔係	820726	1	不是
真係	791094	1	真的
唔好	617747	1	不好
但係	577436	1	但是
點解	486580	1	為什麼
邊個	454723	2	誰,邊位
即係	368673	1	就是
屋企	342332	1	家
鍾意	337260	1	喜歡
唔到	313412	1	不到
跟住	302466	1	然後
邊度	282355	2	哪裏,邊間
係咪	250409	1	是否
同埋	244091	1	以及
女仔	216416	1	女孩
媽咪	204670	1	媽媽
兩個	158930	1	兩粒
家姐	154570	1	姐姐
點樣	150654	1	怎樣
仲有	143269	1	還有
頭先	138018	1	剛才
落去	132679	1	下去
依家	129120	1	現在
做咩	120666	1	幹什麼
公仔	118619	1	玩偶
出嚟	114615	1	出來
男仔	110788	1	男孩
唔該	110343	1	謝謝
今次	99843	1	這次
唔同	95127	1	不同
點知	92279	1	豈料
諗住	91211	1	打算
老豆	87741	1	爸爸
返去	81601	1	回去
仲要	72613	1	更加
污糟	72435	1	骯髒
唔通	68341	1	難道
望住	66473	1	看住
唔記得	64426	1	忘記
淨係	63892	1	只是
細佬	62824	1	弟弟
細妹	61845	1	妹妹
梗係	61489	1	當然
唔使	61045	1	不用
噉樣	60600	1	這樣
好彩	60511	1	幸運
聽日	60244	1	明天
啱啱	59710	1	剛剛
細路	51879	1	小孩
好食	50633	1	好吃
唔見	49476	1	不見
喪屍	49031	1	殭屍
食飯	48586	1	吃飯
過嚟	47963	1	過來
雙手	44938	2	兩手,手
點算	43959	1	怎麼辦
出聲	43514	3	説話,講聲,開聲
轉身	43247	1	掉頭
定係	42535	1	還是
冇乜	42357	1	沒什麼
所謂	41823	1	號稱
諗起	41645	1	想起
睇住	41111	1	盯住
掛住	40311	1	想念
唔好意思	39866	1	對不起
大佬	38976	1	大哥
先至	37374	1	才
姨姨	37196	1	阿姨
冇事	36217	1	無妨
得閒	35950	1	有空
返學	34437	1	上學
心諗	34170	1	心想
返嚟	33815	1	回來
嗰個	32569	1	那個
肚餓	32569	1	飢餓
冇錯	32480	1	沒錯
講嘢	31946	1	説話
好睇	31412	1	好看
對於	30700	2	對,於
靚仔	30433	1	帥哥
令到	30166	1	使得
一係	29632	1	要麼
上堂	29365	1	上課
放低	28742	1	放下
唔緊要	28386	1	不要緊
幾好	28386	1	不錯
無啦啦	27852	1	平白
睇嚟	27852	1	看來
鎖匙	27052	1	鑰匙
出街	26963	2	上街,落街
試過	26785	1	嘗試
依度	26696	1	這裏
耳仔	26162	1	耳朵
條女	25984	1	女孩
拍拖	25717	1	戀愛
點鐘	25539	2	時,鐘點
屋企人	25450	1	家人
核突	25361	1	難看
琴晚	24471	1	昨晚
坐低	23937	1	坐下
講真	23670	1	説實話
細細聲	23581	1	小聲
機場	23225	1	飛機場
有事	22958	2	出事,有嘢
琴日	22958	1	昨天
指住	22869	1	指向
乜嘢	22691	1	什麼
視線	22602	1	目光
陣間	22602	1	待會兒
麵包	22157	1	麪包
再講	21979	1	再説
梳化	21534	1	沙發
第二個	21089	1	其它
伸出	21000	1	伸手
有沒有	20959	1	是否
上嚟	20733	1	上來
傾計	20111	1	聊天
特登	19933	1	故意
課室	19844	1	教室
紙巾	19043	1	面紙
唔多	18954	1	少
唔錯	18954	1	不錯
馬騮	18954	1	猴子
留低	18865	1	留下
嗰陣	18687	1	那時
裏便	18598	1	裏面
大嗌	18420	1	大叫
總係	18420	1	總是
博客	18096	1	網誌
仲未	17975	1	尚未
阿叔	17975	1	叔叔
搞掂	17886	1	辦妥
人哋	17797	1	人家
社工	17708	1	社會工作
盡量	17530	1	儘量
視頻	17528	1	影片
冇問題	17352	1	無妨
嗰時	17174	1	那時
影相	16996	1	拍照
第一次	16941	1	首次
等陣	16373	1	稍等
行埋	15750	1	走近
埋嚟	15661	1	過來
生果	15661	1	水果
音樂	15661	1	樂
幾耐	15483	1	多久
聽過	15394	1	聽聞
衰人	15216	1	壞人
提子	15127	1	葡萄
傻仔	15038	1	傻瓜
