literal	pos	family	voice	source	evidence	confidence	verdict	review_note	stratum	audit_verdict	audit_note
割肚牽腸	a	chengyu		china-idiom+agent	state-definition	high	accept	conservative syntax review	a|none|high	OK	explicit syntax or semantic-head evidence
微乎其微	a	chengyu		china-idiom+agent	state-definition	high	accept	conservative syntax review	a|none|high	OK	explicit syntax or semantic-head evidence
心亂如麻	a	chengyu		china-idiom+agent	state-definition	high	accept	conservative syntax review	a|none|high	OK	explicit syntax or semantic-head evidence
殊深軫念	a	chengyu		china-idiom+agent	state-definition	high	accept	conservative syntax review	a|none|high	OK	explicit syntax or semantic-head evidence
烏七八糟	a	chengyu		china-idiom+agent	state-definition	high	accept	conservative syntax review	a|none|high	OK	explicit syntax or semantic-head evidence
鼻青眼腫	a	chengyu	passive	china-idiom+agent	agent-reviewed-override	high	accept	conservative syntax review	a|passive|high	OK	explicit syntax or semantic-head evidence
所向披靡	a,v	chengyu		china-idiom+agent	agent-reviewed-override	high	accept	conservative syntax review	a,v|none|high	SOFT	multiple common slots have separate evidence
沾沾自喜	a,v	chengyu		china-idiom+agent	agent-reviewed-override	high	accept	conservative syntax review	a,v|none|high	SOFT	multiple common slots have separate evidence
刀山火海	n	chengyu		china-idiom+agent	nominal-slot-or-referent	high	accept	conservative syntax review	n|none|high	OK	explicit syntax or semantic-head evidence
笑面虎	n	chengyu		china-idiom+agent	nominal-slot-or-referent	high	accept	conservative syntax review	n|none|high	OK	explicit syntax or semantic-head evidence
緩兵之計	n	chengyu		china-idiom+agent	nominal-slot-or-referent	high	accept	conservative syntax review	n|none|high	OK	explicit syntax or semantic-head evidence
肘腋之患	n	chengyu		china-idiom+agent	nominal-slot-or-referent	high	accept	conservative syntax review	n|none|high	OK	explicit syntax or semantic-head evidence
赤子之心	n	chengyu		china-idiom+agent	nominal-slot-or-referent	high	accept	conservative syntax review	n|none|high	OK	explicit syntax or semantic-head evidence
一刀切	n,v	chengyu		china-idiom+agent	agent-reviewed-override	high	accept	conservative syntax review	n,v|none|high	SOFT	multiple common slots have separate evidence
憤世嫉俗	r	chengyu		china-idiom+agent	example-adverbial-de	high	accept	conservative syntax review	r|none|high	OK	explicit syntax or semantic-head evidence
披肝瀝膽	r	chengyu		china-idiom+agent	example-adverbial-de	high	accept	conservative syntax review	r|none|high	OK	explicit syntax or semantic-head evidence
接二連三	r	chengyu		china-idiom+agent	example-adverbial-de	high	accept	conservative syntax review	r|none|high	OK	explicit syntax or semantic-head evidence
生吞活剝	r	chengyu		china-idiom+agent	example-adverbial-de	high	accept	conservative syntax review	r|none|high	OK	explicit syntax or semantic-head evidence
誠惶誠恐	r	chengyu		china-idiom+agent	example-adverbial-de	high	accept	conservative syntax review	r|none|high	OK	explicit syntax or semantic-head evidence
一丁不識	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一不做二不休	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一了百了	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一介不取	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一代不如一代	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一個巴掌拍不響	u	chengyu		china-idiom+agent	clause-without-syntax-slot	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一個蘿蔔一個坑	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一分為二	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一分耕耘一分收穫	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一刻千金	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一動不如一靜	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一去不復返	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一呼百應	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一問三不知	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一國三公	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一團漆黑	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一塌糊塗	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一夔已足	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一天一地	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一失足成千古恨	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一字千金	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一字褒貶	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一定之規	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一寸光陰一寸金	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一年半載	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一彈指頃	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一往情深	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一往直前	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一得之功	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一念之差	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
