literal	pos	family	voice	note	trust	verdict	fix_pos	audit_note
一舉兩得	a,v	idiom		u-inlex-nf5;review;agent-label	high	OK		
不加選擇	a,r			u-inlex-nf5;review;agent-label	high	OK		
不擇手段	a,v	idiom		u-inlex-nf5;review;agent-label	high	OK		
不置可否	v	idiom		u-inlex-nf5;review;agent-label	high	OK		
世貿大樓	n			u-inlex-nf5;review;agent-label	high	OK		
乘虛而入	v	idiom		u-inlex-nf5;review;agent-label	high	OK		
他日	n,r			u-inlex-nf5;review;agent-label	high	SOFT		n,r 可
休戰	n,v			u-inlex-nf5;review;agent-label	high	SOFT		n,v 可
傾心吐膽	v	idiom		u-inlex-nf5;review;agent-label	high	OK		
元謀猿人	n			u-inlex-nf5;review;agent-label	high	OK		
克己復禮	v	idiom		u-inlex-nf5;review;agent-label	high	OK		
共商大計	v			u-inlex-nf5;review;agent-label	high	OK		
冥思苦索	v	idiom		u-inlex-nf5;review;agent-label	high	OK		
出沒無常	a,v	idiom		u-inlex-nf5;review;agent-label	high	OK		
割裂	v			u-inlex-nf5;review;agent-label	high	OK		
原子武器	n			u-inlex-nf5;review;agent-label	high	OK		
古文運動	n			u-inlex-nf5;review;agent-label	high	OK		
可取	a			u-inlex-nf5;review;agent-label	high	OK		
吹糠見米	v	idiom		u-inlex-nf5;review;agent-label	high	OK		
嗜殺成性	a			u-inlex-nf5;review;agent-label	high	OK		
回光反照	n,v	idiom		u-inlex-nf5;review;agent-label	high	OK		
如下所述	r			u-inlex-nf5;review;agent-label	high	OK		
如出一轍	a,v	idiom		u-inlex-nf5;review;agent-label	high	OK		
婦道人家	n	idiom		u-inlex-nf5;review;agent-label	high	OK		
家庭主夫	n			u-inlex-nf5;review;agent-label	high	OK		
專心一意	a,r			u-inlex-nf5;review;agent-label	high	OK		
巴勒斯坦	n			地名;u-inlex-nf5;review;agent-label	high	OK		
彈撥樂器	n			u-inlex-nf5;review;agent-label	high	OK		
微細加工	n			u-inlex-nf5;review;agent-label	high	OK		
恍然醒悟	v			u-inlex-nf5;review;agent-label	high	OK		
憂傷	a,n			u-inlex-nf5;review;agent-label	high	OK		
打落水狗	v	idiom		u-inlex-nf5;review;agent-label	high	OK		
抑鬱寡歡	a			u-inlex-nf5;review;agent-label	high	OK		
指點迷津	v	idiom		成語；指點迷津;u-inlex-nf5;review;agent-label	high	OK		
排列次序	n			u-inlex-nf5;review;agent-label	high	OK		
