literal	pos	family	voice	note	trust	verdict	fix_pos	audit_note
三個字	n,x			數量短語;u-inlex-nf2k;review;agent-label	high	SOFT		數量短語；n 主，x 弱可留
不由	r			u-inlex-nf2k;review;agent-label	high	OK		
中標	v			u-inlex-nf2k;review;agent-label	high	OK		
主題曲	n			u-inlex-nf2k;review;agent-label	high	OK		
二手車	n			u-inlex-nf2k;review;agent-label	high	OK		
交投	n			u-inlex-nf2k;review;agent-label	high	OK		
作案	v			u-inlex-nf2k;review;agent-label	high	OK		
侃	v			侃大山;u-inlex-nf2k;review;agent-label	high	OK		
僅供參考	v	idiom		u-inlex-nf2k;review;agent-label	high	BAD	x	套語／標記，非動詞；清 family 另修
儒	n			u-inlex-nf2k;review;agent-label	high	OK		
光管	n			u-inlex-nf2k;review;agent-label	high	OK		
全都	r			u-inlex-nf2k;review;agent-label	high	OK		
公安部	n			u-inlex-nf2k;review;agent-label	high	OK		
冥	a,n			冥界／幽冥;u-inlex-nf2k;review;agent-label	high	OK		
利申	n			u-inlex-nf2k;review;agent-label	high	OK		
卑	a			u-inlex-nf2k;review;agent-label	high	OK		
原廠	n			u-inlex-nf2k;review;agent-label	high	OK		
反口	v			u-inlex-nf2k;review;agent-label	high	OK		
吞噬	v			u-inlex-nf2k;review;agent-label	high	OK		
唸書	v			u-inlex-nf2k;review;agent-label	high	OK		
商貿	n			u-inlex-nf2k;review;agent-label	high	OK		
域	n			u-inlex-nf2k;review;agent-label	high	OK		
埲	n			u-inlex-nf2k;review;agent-label	high	OK		
壞人	n			u-inlex-nf2k;review;agent-label	high	OK		
大自然	n			u-inlex-nf2k;review;agent-label	high	OK		
奉上	v			u-inlex-nf2k;review;agent-label	high	OK		
姦	v			u-inlex-nf2k;review;agent-label	high	OK		
客商	n			u-inlex-nf2k;review;agent-label	high	OK		
實戰	n			u-inlex-nf2k;review;agent-label	high	SOFT		n 主；亦 v
小米	n			u-inlex-nf2k;review;agent-label	high	OK		
嵌	v			u-inlex-nf2k;review;agent-label	high	OK		
帶眼	v			粵：帶眼識人／有眼;u-inlex-nf2k;review;agent-label	high	OK		
幫派	n			u-inlex-nf2k;review;agent-label	high	OK		
建國	n,v			u-inlex-nf2k;review;agent-label	high	OK		
強逼	v			u-inlex-nf2k;review;agent-label	high	OK		
彩鈴	n			u-inlex-nf2k;review;agent-label	high	OK		
循例	v			u-inlex-nf2k;review;agent-label	high	OK		
恕	v			u-inlex-nf2k;review;agent-label	high	OK		
感觸	n,v			u-inlex-nf2k;review;agent-label	high	OK		
慢吞吞	a,r			u-inlex-nf2k;review;agent-label	high	OK		
成員國	n			u-inlex-nf2k;review;agent-label	high	OK		
技術含量	n			u-inlex-nf2k;review;agent-label	high	OK		
抽空	v			u-inlex-nf2k;review;agent-label	high	OK		
擴容	n,v			u-inlex-nf2k;review;agent-label	high	OK		
整爛	v			u-inlex-nf2k;review;agent-label	high	OK		
文科	n			u-inlex-nf2k;review;agent-label	high	OK		
時勢	n			u-inlex-nf2k;review;agent-label	high	OK		
暗地	r			u-inlex-nf2k;review;agent-label	high	OK		
暗自	r			u-inlex-nf2k;review;agent-label	high	OK		
有期徒刑	n			u-inlex-nf2k;review;agent-label	high	OK		
概況	n			u-inlex-nf2k;review;agent-label	high	OK		
樓房	n			u-inlex-nf2k;review;agent-label	high	OK		
歡	a			u-inlex-nf2k;review;agent-label	high	OK		
沁	v			u-inlex-nf2k;review;agent-label	high	OK		
沉迷	v			u-inlex-nf2k;review;agent-label	high	OK		
測繪	n,v			u-inlex-nf2k;review;agent-label	high	OK		
無意中	r			u-inlex-nf2k;review;agent-label	high	OK		
焦	a,n,v			u-inlex-nf2k;review;agent-label	high	OK		
煞	a,n,r,v			u-inlex-nf2k;review;agent-label	high	BAD	a,v	四標過寬；煞車／兇煞分義收 a,v
瑜伽	n			u-inlex-nf2k;review;agent-label	high	OK		
環境污染	n			u-inlex-nf2k;review;agent-label	high	OK		
由來	n			u-inlex-nf2k;review;agent-label	high	OK		
當着	v,x			u-inlex-nf2k;review;agent-label	high	OK		
瘦身	n,v			u-inlex-nf2k;review;agent-label	high	OK		
真誠	a			u-inlex-nf2k;review;agent-label	high	OK		
禹	n			專名／大禹;u-inlex-nf2k;review;agent-label	high	OK		
科普	n,v			u-inlex-nf2k;review;agent-label	high	OK		
竈頭	n			u-inlex-nf2k;review;agent-label	high	OK		
笑死	a,v			u-inlex-nf2k;review;agent-label	high	OK		
管理費	n			u-inlex-nf2k;review;agent-label	high	OK		
築	v			u-inlex-nf2k;review;agent-label	high	OK		
