head	note	batch_id
亦	existing直連「也」填詞可用	syn-top5000-b01-20260718
電視機	prior project_syn edge covers head	syn-top5000-b03-20260718
升降機	prior project_syn edge covers head	syn-top5000-b04-20260718
女友	prior project_syn edge covers head	syn-top5000-b04-20260718
下一個	prior project_syn edge covers head	syn-top5000-b05-20260718
對門	prior project_syn edge covers head	syn-top5000-b05-20260718
枕	prior project_syn edge covers head	syn-top5000-b05-20260718
欄目	prior project_syn edge covers head	syn-top5000-b05-20260718
稍等	prior project_syn edge covers head	syn-top5000-b05-20260718
蕉	prior project_syn edge covers head	syn-top5000-b05-20260718
身旁	prior project_syn edge covers head	syn-top5000-b05-20260718
主頁	prior project_syn edge covers head	syn-top5000-b06-20260718
兔子	prior project_syn edge covers head	syn-top5000-b06-20260718
眼裏	prior project_syn edge covers head	syn-top5000-b06-20260718
紫	prior project_syn edge covers head	syn-top5000-b06-20260718
聽聞	prior project_syn edge covers head	syn-top5000-b06-20260718
試問	prior project_syn edge covers head	syn-top5000-b06-20260718
