head	tail
不懷好意	居心不良
東南西北	四面八方
標點符號	標點
節約能源	節能
勞動模範	勞模
筋疲力盡	精疲力竭
退伍軍人	退役軍人
天下無敵	所向無敵
不得其解	大惑不解
泣不成聲	痛哭失聲
慈善機構	慈善團體
利益衝突	利害衝突
初戀情人	初戀
手提電腦	筆記本電腦
機動車輛	機動車
專科學校	專科
木馬病毒	木馬
私有財產	私產
四方八面	四面八方
如此一來	這樣一來
聽唔入耳	聽不進去
閃閃縮縮	畏畏縮縮
軍事訓練	軍訓
一聲不吭	一言不發
定期存款	定期儲蓄
憤憤不平	忿忿不平
遮遮掩掩	躲躲閃閃
不用客氣	不客氣
日常用品	日用品
信用等級	信用評級
手足口病	手足口症
新生事物	新事物
貪污受賄	貪贓枉法
國營企業	國企
毛絨玩具	毛公仔
文具用品	文具
暗箱操作	黑箱操作
再生能源	可再生能源
突然之間	忽然之間
使用手冊	使用説明
心肌梗死	心肌梗塞
會議展覽	會展
家庭教師	補習老師
世界貿易	國際貿易
開學典禮	開學禮
優惠價格	優惠價
同聲傳譯	即時傳譯
網頁地址	網址
通信網絡	通信網
知心朋友	知己
三番四次	三番五次
大大話話	誇誇其談
支吾以對	支吾其詞
無聲無息	悄無聲息
真真正正	真正
陸陸續續	陸續
電視直播	直播
吸取教訓	汲取教訓
渾身上下	全身上下
中秋佳節	中秋節
基因工程	遺傳工程
一時之間	一時
水力發電	水電
簡要介紹	簡介
量身定製	度身訂造
評審委員	評委
中心地帶	中心區
年紀輕輕	年少
心地善良	心地好
百貨商場	百貨公司
地球科學	地學
傷心欲絕	痛不欲生
放射治療	放療
恐怖電影	恐怖片
吵吵鬧鬧	吵鬧
乾淨利落	乾淨俐落
帶狀皰疹	生蛇
故意殺人	謀殺
健康檢查	體檢
選秀節目	選秀
一片漆黑	漆黑一團
從現在起	從今以後
健身運動	健身
內幕交易	內線交易
援助之手	援手
猝不及防	措手不及
質量檢查	品質檢查
植物保護	植保
電化教育	電化教學
周而復始	週而復始
中國醫藥	中醫藥
精神分裂	思覺失調
有機玻璃	亞克力
人流手術	人工流產
瑟瑟發抖	顫抖
家庭作業	功課
致癌物質	致癌物
尋人啓事	尋人啟事
直系親屬	直系血親
健健康康	健康
