head	reason	batch_id
不怎麼樣	no_gradable_opposite	len4-b01-20260715
不法分子	no_gradable_opposite	len4-b01-20260715
交通事故	no_gradable_opposite	len4-b01-20260715
交通工具	no_gradable_opposite	len4-b01-20260715
人事部門	no_gradable_opposite	len4-b01-20260715
人工流產	no_gradable_opposite	len4-b01-20260715
保護主義	no_gradable_opposite	len4-b01-20260715
公用事業	no_gradable_opposite	len4-b01-20260715
冬蟲夏草	no_gradable_opposite	len4-b01-20260715
勤工儉學	no_gradable_opposite	len4-b01-20260715
十字路口	no_gradable_opposite	campaign-b09-20260714
古典文學	no_gradable_opposite	len4-b01-20260715
嘻嘻哈哈	no_gradable_opposite	len4-b01-20260715
城市居民	no_gradable_opposite	len4-b01-20260715
基本建設	no_gradable_opposite	len4-b01-20260715
夢寐以求	no_gradable_opposite	len4-b01-20260715
大千世界	no_gradable_opposite	len4-b01-20260715
大街小巷	no_gradable_opposite	len4-b01-20260715
大言不慚	no_gradable_opposite	len4-b01-20260715
太平天國	proper_name_or_deixis	len4-b01-20260715
如此這般	no_gradable_opposite	len4-b01-20260715
官僚主義	no_gradable_opposite	len4-b01-20260715
愛國主義	no_gradable_opposite	len4-b01-20260715
政府部門	no_gradable_opposite	len4-b01-20260715
斯里蘭卡	proper_name_or_deixis	len4-b01-20260715
格魯吉亞	proper_name_or_deixis	len4-b01-20260715
歸根結底	no_gradable_opposite	len4-b01-20260715
水利工程	no_gradable_opposite	len4-b01-20260715
流動資金	no_gradable_opposite	len4-b01-20260715
物價指數	no_gradable_opposite	len4-b01-20260715
理想主義	no_gradable_opposite	len4-b01-20260715
生產關係	no_gradable_opposite	len4-b01-20260715
百科全書	no_gradable_opposite	len4-b01-20260715
百貨公司	no_gradable_opposite	campaign-b10-20260714
皮下組織	no_gradable_opposite	len4-b01-20260715
相對而言	no_gradable_opposite	len4-b01-20260715
相比之下	no_gradable_opposite	len4-b01-20260715
知己知彼	no_gradable_opposite	len4-b01-20260715
知識產權	no_gradable_opposite	campaign-b10-20260714
神經系統	no_gradable_opposite	len4-b01-20260715
義務教育	no_gradable_opposite	len4-b01-20260715
胡蘿蔔素	no_gradable_opposite	len4-b01-20260715
自古以來	no_gradable_opposite	len4-b01-20260715
茶餘飯後	no_gradable_opposite	len4-b01-20260715
複合材料	no_gradable_opposite	len4-b01-20260715
西班牙語	no_gradable_opposite	len4-b01-20260715
遙遙領先	no_gradable_opposite	len4-b01-20260715
除此之外	no_gradable_opposite	len4-b01-20260715
高爾夫球	no_gradable_opposite	len4-b01-20260715
高空作業	no_gradable_opposite	len4-b01-20260715
主治醫生	no_gradable_opposite	len4-b02-20260715
二十四史	no_gradable_opposite	len4-b02-20260715
交感神經	no_gradable_opposite	len4-b02-20260715
人文科學	no_gradable_opposite	len4-b02-20260715
兩小無猜	no_gradable_opposite	len4-b02-20260715
出土文物	no_gradable_opposite	len4-b02-20260715
加勒比海	proper_name_or_deixis	len4-b02-20260715
動態平衡	no_gradable_opposite	len4-b02-20260715
勢力範圍	no_gradable_opposite	len4-b02-20260715
原班人馬	no_gradable_opposite	len4-b02-20260715
同等學歷	no_gradable_opposite	len4-b02-20260715
圓桌會議	no_gradable_opposite	len4-b02-20260715
在天之靈	no_gradable_opposite	len4-b02-20260715
報告文學	no_gradable_opposite	len4-b02-20260715
墨西哥城	proper_name_or_deixis	len4-b02-20260715
大腦皮層	no_gradable_opposite	len4-b02-20260715
家庭作業	no_gradable_opposite	len4-b02-20260715
巡迴演出	no_gradable_opposite	len4-b02-20260715
感性認識	no_gradable_opposite	len4-b02-20260715
成本會計	no_gradable_opposite	len4-b02-20260715
扁桃體炎	no_gradable_opposite	len4-b02-20260715
時隱時現	no_gradable_opposite	len4-b02-20260715
有增無減	no_gradable_opposite	len4-b02-20260715
機會主義	no_gradable_opposite	len4-b02-20260715
殖民主義	no_gradable_opposite	len4-b02-20260715
殺身之禍	no_gradable_opposite	len4-b02-20260715
油鹽醬醋	no_gradable_opposite	len4-b02-20260715
波多黎各	proper_name_or_deixis	len4-b02-20260715
海洋生物	no_gradable_opposite	len4-b02-20260715
營養元素	no_gradable_opposite	len4-b02-20260715
王母娘娘	proper_name_or_deixis	len4-b02-20260715
珠穆朗瑪	proper_name_or_deixis	len4-b02-20260715
琴棋書畫	no_gradable_opposite	len4-b02-20260715
神經細胞	no_gradable_opposite	len4-b02-20260715
稀土元素	no_gradable_opposite	len4-b02-20260715
第二產業	no_gradable_opposite	len4-b02-20260715
經驗之談	no_gradable_opposite	len4-b02-20260715
維吾爾族	proper_name_or_deixis	len4-b02-20260715
總參謀部	no_gradable_opposite	len4-b02-20260715
纖維蛋白	no_gradable_opposite	len4-b02-20260715
羅曼蒂克	no_gradable_opposite	len4-b02-20260715
英雄主義	no_gradable_opposite	len4-b02-20260715
草本植物	no_gradable_opposite	len4-b02-20260715
莫桑比克	proper_name_or_deixis	len4-b02-20260715
萬有引力	no_gradable_opposite	len4-b02-20260715
軍事科學	no_gradable_opposite	len4-b02-20260715
農民起義	no_gradable_opposite	len4-b02-20260715
長治久安	no_gradable_opposite	len4-b02-20260715
電子器件	no_gradable_opposite	len4-b02-20260715
飲食療法	no_gradable_opposite	len4-b02-20260715
一國兩制	no_gradable_opposite	len4-b03-20260715
七七事變	no_gradable_opposite	len4-b03-20260715
三姑六婆	no_gradable_opposite	len4-b03-20260715
亞歐大陸	no_gradable_opposite	len4-b03-20260715
伊斯蘭堡	proper_name_or_deixis	len4-b03-20260715
個體經濟	no_gradable_opposite	len4-b03-20260715
兩棲動物	no_gradable_opposite	len4-b03-20260715
勝利果實	no_gradable_opposite	len4-b03-20260715
勞動改造	no_gradable_opposite	len4-b03-20260715
勾股定理	no_gradable_opposite	len4-b03-20260715
化學武器	no_gradable_opposite	len4-b03-20260715
