head	reason	batch_id
一氧化碳	no_stable_near_synonym	syn-len4-b01-20260718
上級領導	no_stable_near_synonym	syn-len4-b01-20260718
不知所謂	cultural_no_binary	syn-len4-b01-20260718
二氧化碳	no_stable_near_synonym	syn-len4-b01-20260718
信息產業	no_stable_near_synonym	syn-len4-b01-20260718
傷痕累累	cultural_no_binary	syn-len4-b01-20260718
億萬富翁	no_stable_near_synonym	syn-len4-b01-20260718
免責聲明	other_documented	syn-len4-b01-20260718
公共設施	no_stable_near_synonym	syn-len4-b01-20260718
功不可沒	cultural_no_binary	syn-len4-b01-20260718
半壁江山	cultural_no_binary	syn-len4-b01-20260718
可圈可點	cultural_no_binary	syn-len4-b01-20260718
可想而知	no_stable_near_synonym	syn-len4-b01-20260718
各界人士	polysemous_no_stable_sense	syn-len4-b01-20260718
同班同學	no_stable_near_synonym	syn-len4-b01-20260718
唱片公司	no_stable_near_synonym	syn-len4-b01-20260718
大專院校	no_stable_near_synonym	syn-len4-b01-20260718
娛樂節目	no_stable_near_synonym	syn-len4-b01-20260718
工程設計	no_stable_near_synonym	syn-len4-b01-20260718
廠家直銷	other_documented	syn-len4-b01-20260718
建築面積	no_stable_near_synonym	syn-len4-b01-20260718
快捷方式	no_stable_near_synonym	syn-len4-b01-20260718
怎麼回事	polysemous_no_stable_sense	syn-len4-b01-20260718
慈善事業	no_stable_near_synonym	syn-len4-b01-20260718
投資組合	no_stable_near_synonym	syn-len4-b01-20260718
改革開放	other_documented	syn-len4-b01-20260718
敬業精神	no_stable_near_synonym	syn-len4-final-audit-20260718
文件大小	no_stable_near_synonym	syn-len4-b01-20260718
文藝演出	no_stable_near_synonym	syn-len4-b01-20260718
新年快樂	other_documented	syn-len4-b01-20260718
旅遊景點	no_stable_near_synonym	syn-len4-b01-20260718
日新月異	cultural_no_binary	syn-len4-b01-20260718
有關方面	polysemous_no_stable_sense	syn-len4-b01-20260718
條件反射	no_stable_near_synonym	syn-len4-b01-20260718
消化不良	no_stable_near_synonym	syn-len4-b01-20260718
生態農業	no_stable_near_synonym	syn-len4-b01-20260718
生產方式	no_stable_near_synonym	syn-len4-b01-20260718
當代中國	no_stable_near_synonym	syn-len4-b01-20260718
社會事業	no_stable_near_synonym	syn-len4-b01-20260718
精神文明	other_documented	syn-len4-b01-20260718
背景音樂	no_stable_near_synonym	syn-len4-b01-20260718
自然科學	no_stable_near_synonym	syn-len4-b01-20260718
詩情畫意	cultural_no_binary	syn-len4-b01-20260718
認識自己	polysemous_no_stable_sense	syn-len4-b01-20260718
走火入魔	cultural_no_binary	syn-len4-b01-20260718
軍事演習	no_stable_near_synonym	syn-len4-b01-20260718
電力公司	no_stable_near_synonym	syn-len4-b01-20260718
電話號碼	no_stable_near_synonym	syn-len4-b01-20260718
馬拉多納	proper_name_or_deixis	syn-len4-b01-20260718
體育運動	no_stable_near_synonym	syn-len4-b01-20260718
一千零一	other_documented	syn-len4-b02-20260718
一年一度	other_documented	syn-len4-b02-20260718
一念之間	cultural_no_binary	syn-len4-b02-20260718
一手一腳	cultural_no_binary	syn-len4-b02-20260718
世界地圖	other_documented	syn-len4-b02-20260718
何時何地	cultural_no_binary	syn-len4-b02-20260718
傳統教育	other_documented	syn-len4-b02-20260718
公共事務	other_documented	syn-len4-b02-20260718
口口聲聲	cultural_no_binary	syn-len4-b02-20260718
同母異父	other_documented	syn-len4-b02-20260718
同等學力	other_documented	syn-len4-b02-20260718
四大名著	proper_name_or_deixis	syn-len4-b02-20260718
因材施教	cultural_no_binary	syn-len4-b02-20260718
基因突變	other_documented	syn-len4-b02-20260718
審美疲勞	cultural_no_binary	syn-len4-b02-20260718
帶薪休假	no_stable_near_synonym	syn-len4-b02-20260718
帽子戲法	cultural_no_binary	syn-len4-b02-20260718
從長計議	cultural_no_binary	syn-len4-b02-20260718
心如止水	cultural_no_binary	syn-len4-b02-20260718
心理因素	other_documented	syn-len4-b02-20260718
放聲大哭	cultural_no_binary	syn-len4-b02-20260718
春秋戰國	proper_name_or_deixis	syn-len4-b02-20260718
更勝一籌	cultural_no_binary	syn-len4-b02-20260718
朝九晚五	cultural_no_binary	syn-len4-b02-20260718
業務水平	other_documented	syn-len4-b02-20260718
機緣巧合	cultural_no_binary	syn-len4-b02-20260718
比較分析	other_documented	syn-len4-b02-20260718
民主監督	other_documented	syn-len4-b02-20260718
消費習慣	other_documented	syn-len4-b02-20260718
火山爆發	other_documented	syn-len4-b02-20260718
特異功能	other_documented	syn-len4-b02-20260718
生日蛋糕	other_documented	syn-len4-b02-20260718
當家作主	cultural_no_binary	syn-len4-b02-20260718
百貨商場	no_stable_near_synonym	syn-len4-final-audit-20260718
立於不敗	cultural_no_binary	syn-len4-b02-20260718
精密儀器	other_documented	syn-len4-b02-20260718
糾纏不清	cultural_no_binary	syn-len4-b02-20260718
總體目標	other_documented	syn-len4-b02-20260718
耳鼻喉科	other_documented	syn-len4-b02-20260718
色即是空	cultural_no_binary	syn-len4-b02-20260718
若即若離	cultural_no_binary	syn-len4-b02-20260718
血肉模糊	cultural_no_binary	syn-len4-b02-20260718
行政拘留	other_documented	syn-len4-b02-20260718
