head	reason	batch_id
一不小心	no_gradable_opposite	len4-b01-20260715
一國兩制	no_gradable_opposite	len4-b03-20260715
一概而論	no_gradable_opposite	len4-b06-20260715
一次函數	no_gradable_opposite	len4-b04-20260715
一清二白	no_gradable_opposite	len4-b04-20260715
一筆抹殺	no_gradable_opposite	len4-b05-20260715
一舉一動	no_gradable_opposite	len4-b01-20260715
一般而言	no_gradable_opposite	len4-b01-20260715
一般見識	no_gradable_opposite	len4-b02-20260715
一見鍾情	no_gradable_opposite	len4-b01-20260715
一言一行	no_gradable_opposite	len4-b01-20260715
一身兩役	no_gradable_opposite	len4-b06-20260715
七七事變	no_gradable_opposite	len4-b03-20260715
七十二行	no_gradable_opposite	len4-b05-20260715
三姑六婆	no_gradable_opposite	len4-b03-20260715
三岔路口	no_gradable_opposite	len4-b04-20260715
三教九流	no_gradable_opposite	len4-b03-20260715
三民主義	no_gradable_opposite	len4-b03-20260715
三角函數	no_gradable_opposite	len4-b02-20260715
三角戀愛	no_gradable_opposite	len4-b04-20260715
上方寶劍	no_gradable_opposite	len4-b05-20260715
不可知論	no_gradable_opposite	len4-b04-20260715
不咎既往	no_gradable_opposite	len4-b05-20260715
不大不小	no_gradable_opposite	len4-b01-20260715
不好意思	no_gradable_opposite	campaign-b04-20260714
不完全葉	no_gradable_opposite	len4-b05-20260715
不怎麼樣	no_gradable_opposite	len4-b01-20260715
不思進取	no_gradable_opposite	len4-b01-20260715
不成文法	no_gradable_opposite	len4-b05-20260715
不法分子	no_gradable_opposite	len4-b01-20260715
不知進退	no_gradable_opposite	len4-b04-20260715
不碎玻璃	no_gradable_opposite	len4-b05-20260715
不祧之祖	no_gradable_opposite	len4-b06-20260715
不謀而合	no_gradable_opposite	len4-b06-20260715
不變價格	no_gradable_opposite	len4-b05-20260715
不變資本	no_gradable_opposite	len4-b05-20260715
不負眾望	no_gradable_opposite	len4-b06-20260715
不隨意肌	no_gradable_opposite	len4-b05-20260715
世界大戰	no_gradable_opposite	len4-b01-20260715
世界屋脊	no_gradable_opposite	len4-b03-20260715
世界市場	no_gradable_opposite	len4-b02-20260715
丙種射線	no_gradable_opposite	len4-b06-20260715
中央銀行	no_gradable_opposite	len4-b01-20260715
中心思想	no_gradable_opposite	len4-b02-20260715
中樞神經	no_gradable_opposite	len4-b01-20260715
中產階級	no_gradable_opposite	len4-b01-20260715
中立主義	no_gradable_opposite	len4-b05-20260715
中等教育	no_gradable_opposite	len4-b02-20260715
中篇小説	no_gradable_opposite	len4-b06-20260715
中華民國	proper_name_or_deixis	len4-b06-20260715
中華民族	proper_name_or_deixis	campaign-b10-20260714
主動脈弓	no_gradable_opposite	len4-b04-20260715
主治醫師	no_gradable_opposite	len4-b01-20260715
主治醫生	no_gradable_opposite	len4-b02-20260715
主觀主義	no_gradable_opposite	len4-b04-20260715
乙狀結腸	no_gradable_opposite	len4-b03-20260715
乙種射線	no_gradable_opposite	len4-b06-20260715
乙種粒子	no_gradable_opposite	len4-b06-20260715
乙酰膽鹼	no_gradable_opposite	len4-b03-20260715
九五之尊	no_gradable_opposite	len4-b03-20260715
事務主義	no_gradable_opposite	len4-b05-20260715
二十五史	no_gradable_opposite	len4-b04-20260715
二十四史	no_gradable_opposite	len4-b02-20260715
二次方程	no_gradable_opposite	len4-b03-20260715
二氧化硅	no_gradable_opposite	len4-b02-20260715
二氧化碳	no_gradable_opposite	len4-b01-20260715
五卅運動	proper_name_or_deixis	len4-b05-20260715
五四運動	proper_name_or_deixis	len4-b02-20260715
五星紅旗	proper_name_or_deixis	len4-b01-20260715
五臟六腑	no_gradable_opposite	len4-b02-20260715
五色繽紛	no_gradable_opposite	len4-b05-20260715
亞歐大陸	no_gradable_opposite	len4-b03-20260715
亞美尼亞	proper_name_or_deixis	len4-b02-20260715
亞馬孫河	proper_name_or_deixis	len4-b04-20260715
交感神經	no_gradable_opposite	len4-b02-20260715
交換價值	no_gradable_opposite	len4-b04-20260715
交通事故	no_gradable_opposite	len4-b01-20260715
交通工具	no_gradable_opposite	len4-b01-20260715
交響樂隊	no_gradable_opposite	len4-b04-20260715
享樂主義	no_gradable_opposite	len4-b03-20260715
人事部門	no_gradable_opposite	len4-b01-20260715
人亡物在	no_gradable_opposite	len4-b05-20260715
人工免疫	no_gradable_opposite	len4-b06-20260715
人工呼吸	no_gradable_opposite	len4-b06-20260715
人工智能	no_gradable_opposite	len4-b06-20260715
人工流產	no_gradable_opposite	len4-b01-20260715
人文主義	no_gradable_opposite	len4-b02-20260715
人文科學	no_gradable_opposite	len4-b02-20260715
人民警察	no_gradable_opposite	len4-b01-20260715
人身事故	no_gradable_opposite	len4-b05-20260715
人身自由	no_gradable_opposite	len4-b01-20260715
人造纖維	no_gradable_opposite	len4-b03-20260715
人道主義	no_gradable_opposite	len4-b01-20260715
人際關係	no_gradable_opposite	len4-b03-20260715
人類學家	no_gradable_opposite	len4-b03-20260715
仁人君子	no_gradable_opposite	len4-b05-20260715
仙山瓊閣	no_gradable_opposite	len4-b05-20260715
代數方程	no_gradable_opposite	len4-b04-20260715
以人為本	no_gradable_opposite	len4-b06-20260715
以權謀私	no_gradable_opposite	len4-b02-20260715
仰卧起坐	no_gradable_opposite	len4-b06-20260715
伊斯蘭堡	proper_name_or_deixis	len4-b03-20260715
伊斯蘭教	proper_name_or_deixis	len4-b01-20260715
伽馬射線	no_gradable_opposite	len4-b04-20260715
低等動物	no_gradable_opposite	len4-b04-20260715
使用價值	no_gradable_opposite	len4-b01-20260715
侵略戰爭	no_gradable_opposite	len4-b02-20260715
俄羅斯族	proper_name_or_deixis	len4-b04-20260715
保加利亞	proper_name_or_deixis	len4-b01-20260715
保守主義	no_gradable_opposite	len4-b02-20260715
保留劇目	no_gradable_opposite	len4-b05-20260715
保護主義	no_gradable_opposite	len4-b01-20260715
保護關税	no_gradable_opposite	len4-b06-20260715
保險公司	no_gradable_opposite	campaign-b10-20260714
修正主義	no_gradable_opposite	len4-b02-20260715
個人崇拜	no_gradable_opposite	len4-b03-20260715
個人衞生	no_gradable_opposite	len4-b06-20260715
個體經濟	no_gradable_opposite	len4-b03-20260715
借酒消愁	no_gradable_opposite	len4-b06-20260715
倫琴射線	no_gradable_opposite	len4-b05-20260715
偵探小説	no_gradable_opposite	len4-b06-20260715
備而不用	no_gradable_opposite	len4-b05-20260715
傳出神經	no_gradable_opposite	len4-b05-20260715
傳真電報	no_gradable_opposite	len4-b05-20260715
傷殘人員	no_gradable_opposite	len4-b04-20260715
價值形式	no_gradable_opposite	len4-b05-20260715
優惠待遇	no_gradable_opposite	len4-b03-20260715
元元本本	no_gradable_opposite	len4-b05-20260715
元謀猿人	proper_name_or_deixis	len4-b05-20260715
充要條件	no_gradable_opposite	len4-b04-20260715
先決條件	no_gradable_opposite	len4-b01-20260715
光化作用	no_gradable_opposite	len4-b05-20260715
光合作用	no_gradable_opposite	len4-b01-20260715
光導纖維	no_gradable_opposite	len4-b04-20260715
光譜分析	no_gradable_opposite	len4-b02-20260715
克什米爾	proper_name_or_deixis	len4-b03-20260715
克羅地亞	proper_name_or_deixis	len4-b01-20260715
兒童文學	no_gradable_opposite	len4-b01-20260715
入室弟子	no_gradable_opposite	len4-b03-20260715
全勞動力	no_gradable_opposite	len4-b06-20260715
全權代表	no_gradable_opposite	len4-b04-20260715
全能運動	no_gradable_opposite	len4-b04-20260715
兩小無猜	no_gradable_opposite	len4-b02-20260715
兩性生殖	no_gradable_opposite	len4-b05-20260715
兩棲動物	no_gradable_opposite	len4-b03-20260715
八仙過海	no_gradable_opposite	len4-b02-20260715
八角茴香	no_gradable_opposite	len4-b04-20260715
公共汽車	no_gradable_opposite	len4-b01-20260715
公共衞生	no_gradable_opposite	len4-b06-20260715
公安人員	no_gradable_opposite	len4-b02-20260715
公用事業	no_gradable_opposite	len4-b01-20260715
公用電話	no_gradable_opposite	len4-b02-20260715
公私合營	no_gradable_opposite	len4-b03-20260715
共同市場	no_gradable_opposite	len4-b03-20260715
共同綱領	no_gradable_opposite	len4-b04-20260715
共產主義	no_gradable_opposite	len4-b01-20260715
具體勞動	no_gradable_opposite	len4-b05-20260715
冒險主義	no_gradable_opposite	len4-b04-20260715
冬蟲夏草	no_gradable_opposite	len4-b01-20260715
冰糖葫蘆	no_gradable_opposite	len4-b02-20260715
出土文物	no_gradable_opposite	len4-b02-20260715
刀山劍林	no_gradable_opposite	len4-b06-20260715
分期付款	no_gradable_opposite	len4-b01-20260715
分裂主義	no_gradable_opposite	len4-b03-20260715
列寧主義	proper_name_or_deixis	len4-b02-20260715
初等教育	no_gradable_opposite	len4-b03-20260715
初級小學	no_gradable_opposite	len4-b04-20260715
別來無恙	no_gradable_opposite	len4-b03-20260715
利比裏亞	proper_name_or_deixis	len4-b06-20260715
剝削階級	no_gradable_opposite	len4-b03-20260715
劈風斬浪	no_gradable_opposite	len4-b06-20260715
力排眾議	no_gradable_opposite	len4-b06-20260715
功利主義	no_gradable_opposite	len4-b03-20260715
功成身退	no_gradable_opposite	len4-b03-20260715
加勒比海	proper_name_or_deixis	len4-b02-20260715
加拿大人	proper_name_or_deixis	len4-b03-20260715
加里波第	proper_name_or_deixis	len4-b05-20260715
動態平衡	no_gradable_opposite	len4-b02-20260715
動物學家	no_gradable_opposite	len4-b03-20260715
動眼神經	no_gradable_opposite	len4-b05-20260715
動脈硬化	no_gradable_opposite	len4-b01-20260715
勝利果實	no_gradable_opposite	len4-b03-20260715
勞動強度	no_gradable_opposite	len4-b02-20260715
勞動改造	no_gradable_opposite	len4-b03-20260715
勞動模範	no_gradable_opposite	len4-b01-20260715
勢利小人	no_gradable_opposite	len4-b06-20260715
勢力範圍	no_gradable_opposite	len4-b02-20260715
勤工儉學	no_gradable_opposite	len4-b01-20260715
勤雜人員	no_gradable_opposite	len4-b06-20260715
勾股定理	no_gradable_opposite	len4-b03-20260715
包產到户	no_gradable_opposite	len4-b06-20260715
化學元素	no_gradable_opposite	len4-b03-20260715
化學反應	no_gradable_opposite	len4-b01-20260715
化學工業	no_gradable_opposite	len4-b01-20260715
化學性質	no_gradable_opposite	len4-b02-20260715
化學武器	no_gradable_opposite	len4-b03-20260715
化學纖維	no_gradable_opposite	len4-b02-20260715
化學肥料	no_gradable_opposite	len4-b04-20260715
化學變化	no_gradable_opposite	len4-b03-20260715
北京猿人	proper_name_or_deixis	len4-b04-20260715
北愛爾蘭	proper_name_or_deixis	len4-b02-20260715
十二指腸	no_gradable_opposite	len4-b01-20260715
十二生肖	no_gradable_opposite	len4-b01-20260715
十八羅漢	no_gradable_opposite	len4-b03-20260715
十字路口	no_gradable_opposite	campaign-b09-20260714
十月革命	proper_name_or_deixis	len4-b02-20260715
升堂入室	no_gradable_opposite	len4-b05-20260715
半勞動力	no_gradable_opposite	len4-b05-20260715
半殖民地	no_gradable_opposite	len4-b02-20260715
半自耕農	no_gradable_opposite	len4-b05-20260715
半身不遂	no_gradable_opposite	len4-b03-20260715
南斯拉夫	proper_name_or_deixis	len4-b01-20260715
南昌起義	proper_name_or_deixis	len4-b02-20260715
南箕北斗	no_gradable_opposite	len4-b05-20260715
博茨瓦納	proper_name_or_deixis	len4-b02-20260715
卧薪嚐膽	no_gradable_opposite	len4-b06-20260715
印度支那	proper_name_or_deixis	len4-b04-20260715
印第安人	proper_name_or_deixis	len4-b01-20260715
危地馬拉	proper_name_or_deixis	len4-b02-20260715
危言聳聽	no_gradable_opposite	len4-b01-20260715
厄瓜多爾	proper_name_or_deixis	len4-b01-20260715
原始社會	no_gradable_opposite	len4-b02-20260715
原子武器	no_gradable_opposite	len4-b05-20260715
原班人馬	no_gradable_opposite	len4-b02-20260715
原生動物	no_gradable_opposite	len4-b04-20260715
反作用力	no_gradable_opposite	len4-b03-20260715
反芻動物	no_gradable_opposite	len4-b04-20260715
取之不盡	no_gradable_opposite	len4-b02-20260715
口頭文學	no_gradable_opposite	len4-b04-20260715
古典主義	no_gradable_opposite	len4-b02-20260715
古典文學	no_gradable_opposite	len4-b01-20260715
古往今來	no_gradable_opposite	len4-b01-20260715
古爾邦節	proper_name_or_deixis	len4-b04-20260715
另一方面	function_word	campaign-b08-20260714
可口可樂	proper_name_or_deixis	len4-b01-20260715
可比價格	no_gradable_opposite	len4-b04-20260715
司法部長	no_gradable_opposite	len4-b03-20260715
各行各業	no_gradable_opposite	len4-b01-20260715
合久必分	no_gradable_opposite	len4-b04-20260715
合成石油	no_gradable_opposite	len4-b05-20260715
合成纖維	no_gradable_opposite	len4-b02-20260715
吉卜賽人	proper_name_or_deixis	len4-b04-20260715
吉普賽人	no_gradable_opposite	len4-b03-20260715
同業公會	no_gradable_opposite	len4-b03-20260715
同等學歷	no_gradable_opposite	len4-b02-20260715
同軸電纜	no_gradable_opposite	len4-b02-20260715
名義工資	no_gradable_opposite	len4-b05-20260715
君主專制	no_gradable_opposite	len4-b03-20260715
君主立憲	no_gradable_opposite	len4-b03-20260715
告一段落	no_gradable_opposite	len4-b01-20260715
呼吸系統	no_gradable_opposite	len4-b01-20260715
呼和浩特	proper_name_or_deixis	len4-b01-20260715
和平談判	no_gradable_opposite	len4-b04-20260715
哈哈大笑	no_gradable_opposite	len4-b01-20260715
哈薩克語	no_gradable_opposite	len4-b04-20260715
哈雷彗星	proper_name_or_deixis	len4-b04-20260715
哥倫比亞	proper_name_or_deixis	len4-b01-20260715
哺乳動物	no_gradable_opposite	len4-b01-20260715
唐古拉山	proper_name_or_deixis	len4-b03-20260715
商品流通	no_gradable_opposite	len4-b02-20260715
商品經濟	no_gradable_opposite	len4-b01-20260715
嘉年華會	proper_name_or_deixis	len4-b06-20260715
嘰裏咕嚕	no_gradable_opposite	len4-b03-20260715
嘻嘻哈哈	no_gradable_opposite	len4-b01-20260715
嚴以律己	no_gradable_opposite	len4-b04-20260715
四則運算	no_gradable_opposite	len4-b04-20260715
四氯化碳	no_gradable_opposite	len4-b03-20260715
固定資產	no_gradable_opposite	len4-b01-20260715
固定資金	no_gradable_opposite	len4-b05-20260715
國家機關	no_gradable_opposite	len4-b01-20260715
國計民生	no_gradable_opposite	len4-b01-20260715
國防部長	no_gradable_opposite	len4-b01-20260715
國際公制	no_gradable_opposite	len4-b06-20260715
國際公法	no_gradable_opposite	len4-b04-20260715
國際私法	no_gradable_opposite	len4-b02-20260715
國際象棋	no_gradable_opposite	len4-b01-20260715
圓桌會議	no_gradable_opposite	len4-b02-20260715
土地改革	no_gradable_opposite	len4-b02-20260715
土木工程	no_gradable_opposite	len4-b06-20260715
在天之靈	no_gradable_opposite	len4-b02-20260715
在所難免	no_gradable_opposite	len4-b05-20260715
地下鐵道	no_gradable_opposite	len4-b04-20260715
地主階級	no_gradable_opposite	len4-b03-20260715
地區差價	no_gradable_opposite	len4-b05-20260715
地心引力	no_gradable_opposite	len4-b02-20260715
地方主義	no_gradable_opposite	len4-b05-20260715
地理學家	no_gradable_opposite	len4-b03-20260715
地質學家	no_gradable_opposite	len4-b03-20260715
地震震級	no_gradable_opposite	len4-b06-20260715
